input:survey_PMPS_position_map_radec,input:survey_SMPS_position_map_radec,input:survey_HTRU_position_map_radec,input:survey_PMPS_velocity_map_vra,input:survey_SMPS_velocity_map_vra,input:survey_HTRU_velocity_map_vra,input:survey_PMPS_velocity_map_vdec,input:survey_SMPS_velocity_map_vdec,input:survey_HTRU_velocity_map_vdec,input:survey_PMPS_ppdot_map,input:survey_SMPS_ppdot_map,input:survey_HTRU_ppdot_map,input:survey_PMPS_ppdot_map_fluxes,input:survey_SMPS_ppdot_map_fluxes,input:survey_HTRU_ppdot_map_fluxes,B_initial_log10_mean,P_initial_log10_mean
data/example_generator_magrot/survey_PMPS_position_map_radec_0.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_0.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_0.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_0.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_0.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_0.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_0.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_0.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_0.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_0.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_0.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_0.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_0.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_0.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_0.npy,13.091984923506313,-1.2906393856263936
data/example_generator_magrot/survey_PMPS_position_map_radec_1.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_1.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_1.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_1.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_1.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_1.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_1.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_1.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_1.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_1.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_1.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_1.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_1.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_1.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_1.npy,13.749698303313101,-0.7796808848161387
data/example_generator_magrot/survey_PMPS_position_map_radec_2.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_2.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_2.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_2.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_2.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_2.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_2.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_2.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_2.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_2.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_2.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_2.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_2.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_2.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_2.npy,12.855467813737247,-0.5506416847005343
data/example_generator_magrot/survey_PMPS_position_map_radec_3.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_3.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_3.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_3.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_3.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_3.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_3.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_3.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_3.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_3.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_3.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_3.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_3.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_3.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_3.npy,13.234497951042272,-1.3306216838429268
data/example_generator_magrot/survey_PMPS_position_map_radec_4.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_4.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_4.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_4.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_4.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_4.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_4.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_4.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_4.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_4.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_4.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_4.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_4.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_4.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_4.npy,12.986668414038423,-1.4111250603135645
data/example_generator_magrot/survey_PMPS_position_map_radec_5.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_5.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_5.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_5.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_5.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_5.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_5.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_5.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_5.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_5.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_5.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_5.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_5.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_5.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_5.npy,13.336083769594117,-1.486227008405877
data/example_generator_magrot/survey_PMPS_position_map_radec_6.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_6.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_6.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_6.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_6.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_6.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_6.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_6.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_6.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_6.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_6.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_6.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_6.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_6.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_6.npy,12.413542857277019,-0.7454706666744094
data/example_generator_magrot/survey_PMPS_position_map_radec_7.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_7.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_7.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_7.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_7.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_7.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_7.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_7.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_7.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_7.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_7.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_7.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_7.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_7.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_7.npy,12.024287484697824,-1.3021453743705773
data/example_generator_magrot/survey_PMPS_position_map_radec_8.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_8.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_8.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_8.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_8.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_8.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_8.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_8.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_8.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_8.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_8.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_8.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_8.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_8.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_8.npy,12.943446605263787,-0.7715091880850121
data/example_generator_magrot/survey_PMPS_position_map_radec_9.npy,data/example_generator_magrot/survey_SMPS_position_map_radec_9.npy,data/example_generator_magrot/survey_HTRU_position_map_radec_9.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vra_9.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vra_9.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vra_9.npy,data/example_generator_magrot/survey_PMPS_velocity_map_vdec_9.npy,data/example_generator_magrot/survey_SMPS_velocity_map_vdec_9.npy,data/example_generator_magrot/survey_HTRU_velocity_map_vdec_9.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_9.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_9.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_9.npy,data/example_generator_magrot/survey_PMPS_ppdot_map_fluxes_9.npy,data/example_generator_magrot/survey_SMPS_ppdot_map_fluxes_9.npy,data/example_generator_magrot/survey_HTRU_ppdot_map_fluxes_9.npy,12.353421667012936,-0.715599538577538
