input:survey_PMPS_density_map_radec,input:survey_SMPS_density_map_radec,input:survey_HTRU_density_map_radec,input:survey_xray_density_map_radec,input:survey_PMPS_velocity_vra_map_radec,input:survey_SMPS_velocity_vra_map_radec,input:survey_HTRU_velocity_vra_map_radec,input:survey_xray_velocity_vra_map_radec,input:survey_PMPS_velocity_vdec_map_radec,input:survey_SMPS_velocity_vdec_map_radec,input:survey_HTRU_velocity_vdec_map_radec,input:survey_xray_velocity_vdec_map_radec,input:survey_PMPS_density_map_ppdot,input:survey_SMPS_density_map_ppdot,input:survey_HTRU_density_map_ppdot,input:survey_xray_density_map_ppdot,input:survey_PMPS_flux_map_ppdot,input:survey_SMPS_flux_map_ppdot,input:survey_HTRU_flux_map_ppdot,input:survey_xray_flux_map_ppdot,B_initial_log10_mean,P_initial_log10_mean
data/example_generator_magrot/survey_PMPS_density_map_radec_0.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_0.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_0.npy,data/example_generator_magrot/survey_xray_density_map_radec_0.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_0.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_0.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_0.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_0.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_0.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_0.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_0.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_0.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_0.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_0.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_0.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_0.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_0.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_0.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_0.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_0.npy,12.760581505895203,-0.7428330891684274
data/example_generator_magrot/survey_PMPS_density_map_radec_1.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_1.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_1.npy,data/example_generator_magrot/survey_xray_density_map_radec_1.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_1.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_1.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_1.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_1.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_1.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_1.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_1.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_1.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_1.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_1.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_1.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_1.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_1.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_1.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_1.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_1.npy,12.00901699270494,-0.7370723718542642
data/example_generator_magrot/survey_PMPS_density_map_radec_2.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_2.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_2.npy,data/example_generator_magrot/survey_xray_density_map_radec_2.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_2.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_2.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_2.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_2.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_2.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_2.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_2.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_2.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_2.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_2.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_2.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_2.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_2.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_2.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_2.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_2.npy,13.666001670349528,-0.945232045269706
data/example_generator_magrot/survey_PMPS_density_map_radec_3.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_3.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_3.npy,data/example_generator_magrot/survey_xray_density_map_radec_3.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_3.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_3.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_3.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_3.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_3.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_3.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_3.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_3.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_3.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_3.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_3.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_3.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_3.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_3.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_3.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_3.npy,12.597396839756216,-1.4013555393326107
data/example_generator_magrot/survey_PMPS_density_map_radec_4.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_4.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_4.npy,data/example_generator_magrot/survey_xray_density_map_radec_4.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_4.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_4.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_4.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_4.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_4.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_4.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_4.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_4.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_4.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_4.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_4.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_4.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_4.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_4.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_4.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_4.npy,12.94690108229641,-1.0388257559078706
data/example_generator_magrot/survey_PMPS_density_map_radec_5.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_5.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_5.npy,data/example_generator_magrot/survey_xray_density_map_radec_5.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_5.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_5.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_5.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_5.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_5.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_5.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_5.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_5.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_5.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_5.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_5.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_5.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_5.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_5.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_5.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_5.npy,12.15098310828575,-0.476238137119644
data/example_generator_magrot/survey_PMPS_density_map_radec_6.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_6.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_6.npy,data/example_generator_magrot/survey_xray_density_map_radec_6.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_6.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_6.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_6.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_6.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_6.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_6.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_6.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_6.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_6.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_6.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_6.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_6.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_6.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_6.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_6.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_6.npy,12.14958527199152,-0.6577121980400998
data/example_generator_magrot/survey_PMPS_density_map_radec_7.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_7.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_7.npy,data/example_generator_magrot/survey_xray_density_map_radec_7.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_7.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_7.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_7.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_7.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_7.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_7.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_7.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_7.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_7.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_7.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_7.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_7.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_7.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_7.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_7.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_7.npy,13.302261788438908,-0.4220031597288853
data/example_generator_magrot/survey_PMPS_density_map_radec_8.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_8.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_8.npy,data/example_generator_magrot/survey_xray_density_map_radec_8.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_8.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_8.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_8.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_8.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_8.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_8.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_8.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_8.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_8.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_8.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_8.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_8.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_8.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_8.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_8.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_8.npy,12.703939507409975,-1.4675510859502274
data/example_generator_magrot/survey_PMPS_density_map_radec_11.npy,data/example_generator_magrot/survey_SMPS_density_map_radec_11.npy,data/example_generator_magrot/survey_HTRU_density_map_radec_11.npy,data/example_generator_magrot/survey_xray_density_map_radec_11.npy,data/example_generator_magrot/survey_PMPS_velocity_vra_map_radec_11.npy,data/example_generator_magrot/survey_SMPS_velocity_vra_map_radec_11.npy,data/example_generator_magrot/survey_HTRU_velocity_vra_map_radec_11.npy,data/example_generator_magrot/survey_xray_velocity_vra_map_radec_11.npy,data/example_generator_magrot/survey_PMPS_velocity_vdec_map_radec_11.npy,data/example_generator_magrot/survey_SMPS_velocity_vdec_map_radec_11.npy,data/example_generator_magrot/survey_HTRU_velocity_vdec_map_radec_11.npy,data/example_generator_magrot/survey_xray_velocity_vdec_map_radec_11.npy,data/example_generator_magrot/survey_PMPS_density_map_ppdot_11.npy,data/example_generator_magrot/survey_SMPS_density_map_ppdot_11.npy,data/example_generator_magrot/survey_HTRU_density_map_ppdot_11.npy,data/example_generator_magrot/survey_xray_density_map_ppdot_11.npy,data/example_generator_magrot/survey_PMPS_flux_map_ppdot_11.npy,data/example_generator_magrot/survey_SMPS_flux_map_ppdot_11.npy,data/example_generator_magrot/survey_HTRU_flux_map_ppdot_11.npy,data/example_generator_magrot/survey_xray_flux_map_ppdot_11.npy,12.495697986736197,-1.0904244026206376
