source,abs. flux (0.3-10 keV),period(s),pdot(1e-11s/s),distance(kpc),l(deg),b(deg),ra(deg),dec(deg),luminosity_bol_qui(e33erg/s),class,assoc,age_real(kyr)
CXOUJ185238.6+0040,2.6236E-13,0.105,0.00000087,7.1,33.667347,0.038728,283.1603637,0.67217321,3,CCO,,6.3
1E1207.4-5209,2.1878E-12,0.424,0.0000022,2.35,296.545164,9.916088,182.5036664,-52.44122759,5.5,CCO,,7
RXJ0822.0-4300,4.6419E-12,0.113,0.00000093,2.2,260.572541,-3.495317,125.6124931,-43.17416034,4,CCO,,4.45
1E161348-5055,1.8707E-12,24030,70,3.3,332.428951,-0.373763,244.4009464,-51.0401706,7.2,CCO,PWN,2
CXOJ085201.4-461753,1.5812E-12,,,0.77,266.2346,-1.1942,133.0059226,-46.29806786,0.2,CCO,,3.75
CXOJ232327.9+584842,1.3434E-12,,,3.4,111.74155,-2.13527,350.8660429,58.81189124,2.1,CCO,,0.32
2XMMJ104608.7-594306,1.183E-13,,,2.35,287.733931,-0.596014,161.5363305,-59.71846576,0.4,CCO,,11
CXOJ160103.1-513353,1.388E-13,,,5,330.16899,0.98968,240.2630785,-51.5648905,2,CCO,,0.8
1WGAJ1713.4-3949,3.163E-12,,,1.3,347.2683,-0.4992,258.3666408,-39.82999972,1.1,CCO,,1.6
XMMUJ172054.5-372652,4.7065E-13,,,6.1,350.052,-0.3069,260.2270964,-37.44782492,7.8,CCO,,0.6
XMMUJ173203.3-344518,2.4963E-12,,,3.2,353.5429,-0.6706,263.013727,-34.75503424,7.2,CCO,,4
CXOUJ181852.0-150213,3.434E-14,,,10,15.8777,0.1972,274.7166202,-15.03694061,2.1,CCO,,3.4
,,,,,,,,,,,,
SGR1627-41,4.2E-14,2.59,1.9,11,336.98,-0.11,248.9682462,-47.58593363,1.2,Magnetar,,5
1E2259+586,3.55E-11,6.98,0.048,3.2,109.09,-1,345.2925985,58.87623021,61,Magnetar,,10
XTEJ1810-197,5.3E-13,5.54,0.283,3.5,10.73,-0.16,272.4659781,-19.72910823,32,Magnetar,Radio,
SGR1806-20,5.49E-12,7.75,7.5,8.7,10,-0.24,272.1641959,-20.40656315,140,Magnetar,,0.8
CXOUJ1647-4552,8E-13,10.61,0.097,4,339.55,-0.43,251.795552,-45.86758852,3.5,Magnetar,,
SGRJ0501+4516,2.5E-12,5.76,0.594,1.5,161.55,1.95,75.28225102,45.27414047,1.3,Magnetar,,10
1E1547-5408,3.2E-13,2.07,4.77,4.5,327.24,-0.13,237.7277914,-54.3034757,2.3,Magnetar,Radio,0.8
SGRJ0418+5729,1E-14,9.08,0.0004,2,147.98,5.12,64.64349343,57.53964599,0.008,Magnetar,,
SGRJ1833-0832,6E-14,7.57,0.35,,23.34,0.02,278.4351544,-8.51911427,8,Magnetar,,
SwiftJ1822.3-1606,2.3E-13,8.44,0.013,1.6,15.35,-1.02,275.5728222,-16.07602057,0.3,Magnetar,,
SwiftJ1834.9-0846,1E-14,2.48,0.806,4.2,23.25,-0.34,278.7163781,-8.76487609,0.2,Magnetar,PWN,
1E1048.1-5937,5.56E-12,6.46,2.18,9,288.26,-0.52,162.5360859,-59.89071986,89,Magnetar,,
SGRJ1745-2900,2E-14,3.76,3.06,8.3,359.94,-0.05,266.4180416,-29.01344092,10,Magnetar,Radio,
SGRJ1935+2154,8.5981E-13,3.24,1.43,9,57.25,0.82,293.7323918,21.89994444,4,Magnetar,Radio,
1E1841-045,2.3265E-11,11.79,4.09,8.5,27.39,-0.01,280.3351157,-4.9352204,460,Magnetar,,0.75
SGR1900+14,3.9219E-12,5.2,9.2,12.5,43.02,0.77,286.8052644,9.32333018,140,Magnetar,,5.6
4U0142+614,1.128E-10,8.69,0.2,3.6,129.38,-0.43,26.58544255,61.7524584,380,Magnetar,,
1RXSJ170849.0-4009,3.7506E-11,11.01,1.95,3.8,346.48,0.04,257.1904562,-40.14631789,100,Magnetar,,
CXOUJ010043.1-721,4.5058E-13,8.02,1.88,62.4,301.93,-44.92,15.17955397,-72.19019421,224,Magnetar,SMC,
CXOUJ171405.7-3810,1.688E-12,3.83,6.4,13.2,348.68,0.37,258.5244472,-38.17672143,112,Magnetar,,0.65
SGR0526-66,1.128E-12,8.05,3.8,49.7,276.09,-33.25,81.49306605,-66.07895345,398,Magnetar,LMC,5
PSRJ1119-6127,4.8E-14,0.407,0.4,8.4,292.151295,-0.536942,169.8095661,-61.4637464,2,Magnetar,"PWN, Radio",4.2
PSRJ1846-0258,1.6489E-11,0.33,0.71,6,29.711946,-0.240114,281.6039105,-2.97503413,20,Magnetar,PWN,1.69
PSRJ1622-4950,9E-15,4.3261,1.7,9,333.849035,-0.101993,245.6866577,-49.84844474,0.44,Magnetar,Radio,
SwiftJ1818.0-1607,2.506E-14,1.36,5,9.4,14.81535,-0.138088,274.5009476,-16.13140221,1.3,Magnetar,Radio,
3XMMJ1852+0033,4.4648E-13,11.55871346,0.014,7.1,33.578554,-0.045068,283.1944514,0.55493787,40,Magnetar,,
SGRJ1830-0645,,,,,,,,,,Magnetar,,
SwiftJ1555.2-5402,,,,,,,,,,Magnetar,,
,,,,,,,,,,,,
PSRJ0726-2612,5.3199E-13,3.44,0.03,1,240.079247,-4.644334,111.5338266,-26.21057679,0.224463,RPP,Radio,
PSRJ1819-1458,1.7354E-13,4.263,0.057,3.6,16.019002,0.080346,274.8923806,-14.96766409,4.90753,RPP,"PWN, Radio",
PSRJ1718-3718,7.9268E-15,3.378,0.16,4.5,349.848963,0.215121,259.5423241,-37.31494979,0.491632,RPP,"PWN, Radio",
1RXSJ1412+7922,8.4898E-13,0.059,0.000319,0.3,213.2328542,79.36780556,180.9545912,26.57013578,0.0138213,RPP,,
PSRJ0538+2817,6.8913E-13,,0.00037,1.3,179.718198,-1.685636,84.60440902,28.28639484,0.372123,RPP,"PWN, Radio",40
PSRB1055-52,1.4921E-12,,0.00058,0.35,285.984341,6.649336,164.4959478,-52.44902594,0.0785942,RPP,"PWN, Radio",
PSRJ0633+1746,5.6182E-13,,0.0011,0.19,195.133837,4.265811,98.47563123,17.77025877,0.0398,RPP,"PWN, Radio",
PSRB1706-44,6.8675E-14,,0.0093,2.6,343.098214,-2.685113,257.4275695,-44.48495527,,RPP,"PWN, Radio",
PSRB0833-45,1.5209E-11,0.089,0.012,0.28,263.551962,-2.787257,128.8360549,-45.17642552,0.5,RPP,"PWN, Radio",8.9
PSRB0656+14,8.8818E-13,0.385,0.0055,0.28,201.10766,8.258282,104.9505517,14.23931177,0.026455,RPP,"PWN, Radio",79.4
PSRB2334+61,2.1394E-14,0.495,0.019,3.1,114.28389,0.233355,354.2740628,61.850466,0.0781036,RPP,Radio,7.7
PSRJ1740+1000,1.668E-13,0.154,0.00215,1.4,34.01052,20.268413,265.1079339,10.00167467,0.1995,RPP,Radio,
PSRJ0205+6449,3.0556E-14,0.0657,0.0193,3.2,31.408,64.8286,220.5365216,23.74184505,0.316,RPP,"PWN, Radio",0.83
PSRJ0357+3205,,0.444,0.0013,0.45,59.4673375,32.08989722,261.2518202,35.38701627,,RPP,PWN,
PSRJ0633+0632,,0.297,0.00795,0.9,98.4339,6.54152222,319.8955287,58.9305019,,RPP,PWN,
PSRJ1357-6429,1.1389E-13,0.166,0.036,2.5,209.2605208,-64.49163611,40.63925555,-22.76754906,0.158,RPP,"PWN, Radio",
PSRJ1741-2054,1.8557E-13,0.414,0.00169,0.8,265.4887,-20.9011,104.9467499,-55.36504032,0.316,RPP,"PWN, Radio",
PSRB1822-08,4.071E-14,0.769,0.0052,0.3,276.3775,-9.5892,132.8038254,-59.42215974,0.00236906,RPP,Radio,
PSRB1823-13,,0.101,0.0075,3.6,276.5544,-13.58,126.3971576,-61.89713927,,RPP,"PWN, Radio",
PSRJ1836+5925,1.5226E-14,0.173,0.00015,0.3,279.0569208,59.4249361,180.975752,-1.22530865,0.00394557,RPP,,
PSRB1951+32,,0.0395,0.000584,2.4,298.2424,32.8781,188.3199702,-29.82825447,,RPP,"PWN, Radio",64
PSRJ1957+5033,1.5671E-14,0.375,0.0007,1.3,299.41,50.5559,190.5705813,-12.25322792,0.00181629,RPP,PWN,
PSRJ2021+3651,,0.104,0.0095,1.8,305.2725,36.8513,194.942858,-25.98257218,,RPP,"PWN, Radio",
PSRB1509-58,4.432E-14,0.08892,0.000915,5.2,228.4482,-59.1318,48.03914379,-30.90027881,,RPP,"PWN, Radio",1.9
PSRJ0554+3107,3.9482E-14,0.465,0.01426,4.5,88.5201,31.1282,266.9309812,59.79598337,1.95625,RPP,,
,,,,,,,,,,,,
RXJ0420.0-5022,5.01E-13,3.45,0.002759,0.34,258.134978,-44.385597,65.00916558,-50.37944025,0.014,XDINS,,
RXJ1856.5-3754,2E-11,7.055,0.003,0.12,358.599611,-17.21311,284.1462848,-37.90847857,0.047,XDINS,,400
RXJ2143.0+0654,2.51E-12,9.428,0.0041,0.43,62.657328,-33.139952,325.7658269,6.90555023,0.1,XDINS,,
RXJ0720.4-3125,1E-11,8.391,0.006983,0.29,244.15805,-8.164527,110.103998,-31.43060775,0.2,XDINS,,800
RXJ0806.4-4123,2.51E-12,11.37,0.0055,0.25,257.426088,-4.984389,121.5958266,-41.37582671,0.03,XDINS,,
RXJ1308.6+2127,3.16E-12,10.31,0.011,0.5,338.745669,83.081296,197.2029126,21.45222311,0.02,XDINS,,1000
RXJ1605.3+3249,7.94E-12,3.39,,0.35,52.875945,47.990468,241.3287466,32.81860729,1.99,XDINS,,500
