source,abs. flux (0.3-10 keV),period(s),pdot(1e-11s/s),distance(kpc),l(deg),b(deg),luminosity_bol_qui(e33erg/s),class
CXOUJ185238.6+0040,2.6236E-13,0.105,0.00000087,7.1,33.667347,0.038728,12,CCO
1E1207.4-5209,2.1878E-12,0.424,0.0000022,2.35,296.545164,9.916088,3,CCO
RXJ0822.0-4300,4.6419E-12,0.113,0.00000093,2.2,260.572541,-3.495317,4,CCO
1E161348-5055,1.8707E-12,24030,70,3.3,332.428951,-0.373763,2.8,CCO
CXOJ085201.4-461753,1.5812E-12,,,0.77,,,0.2,CCO
CXOJ232327.9+584842,1.3434E-12,,,3.4,,,6.5,CCO
2XMMJ104608.7-594306,1.183E-13,,,2.35,,,0.6,CCO
CXOJ160103.1-513353,1.388E-13,,,5,,,5.8,CCO
1WGAJ1713.4-3949,3.163E-12,,,1.3,,,2,CCO
XMMUJ172054.5-372652,4.7065E-13,,,6.1,,,15,CCO
XMMUJ173203.3-344518,2.4963E-12,,,3.2,,,17.4,CCO
CXOUJ181852.0-150213,3.434E-14,,,10,,,8.4,CCO
SGR1627-41,4.2E-14,2.59,1.9,11,336.98,-0.11,1.2,Magnetar
1E2259+586,3.55E-11,6.98,0.048,3.2,109.09,-1,61,Magnetar
XTEJ1810-197,5.3E-13,5.54,0.283,3.5,10.73,-0.16,32,Magnetar
SGR1806-20,5.49E-12,7.75,7.5,8.7,10,-0.24,140,Magnetar
CXOUJ1647-4552,8E-13,10.61,0.097,4,339.55,-0.43,3.5,Magnetar
SGRJ0501+4516,2.5E-12,5.76,0.594,1.5,161.55,1.95,1.3,Magnetar
1E1547-5408,3.2E-13,2.07,4.77,4.5,327.24,-0.13,2.3,Magnetar
SGRJ0418+5729,1E-14,9.08,0.0004,2,147.98,5.12,0.008,Magnetar
SGRJ1833-0832,6E-14,7.57,0.35,,23.34,0.02,8,Magnetar
SwiftJ1822.3-1606,2.3E-13,8.44,0.013,1.6,15.35,-1.02,0.3,Magnetar
SwiftJ1834.9-0846,1E-14,2.48,0.806,4.2,23.25,-0.34,0.2,Magnetar
