n,PSRJ,RAJ,DECJ,P0,P1
,,(hms),(dms),(s),
1,J0002+6216,00:02:58.1,+62:16:09.4,0.115364,5.97E-15
2,J0006+1834,00:06:04.8,+18:34:59,0.693748,2.1E-15
3,J0007+7303,00:07:01.7,+73:03:07.4,0.315873,3.6E-13
4,J0014+4746,00:14:17.7,+47:46:33.4,1.240699,5.64E-16
5,J0026+6320,00:26:50.5,+63:20:00.8,0.318358,1.51E-16
6,J0034-0721,00:34:08.8,-07:21:53.4,0.942951,4.08E-16
7,J0038-2501,00:38:10.2,-25:01:30.7,0.256926,7.6E-19
8,J0040+5716,00:40:32.3,+57:16:24.8,1.118225,2.88E-15
9,J0045-7042,00:45:25.6,-70:42:07.1,0.632336,2.49E-15
10,J0045-7319,00:45:35.1,-73:19:03.0,0.926276,4.46E-15
11,J0048+3412,00:48:33.9,+34:12:08,1.217094,2.35E-15
12,J0051+0423,00:51:30.1,+04:22:49,0.354732,7E-18
13,J0054+6946,00:54:59.1,+69:46:17,0.832911,7.19E-16
14,J0055+5117,00:55:45.3,+51:17:24.6,2.115171,9.54E-15
15,J0056+4756,00:56:25.5,+47:56:11,0.472037,3.33E-15
16,J0057-7201,00:57:44.0,-72:01:19,0.738062,1E-16
17,J0058+4950,00:58:09.9,+49:50:26,0.996023,8.04E-16
18,J0100-7211,01:00:43.0,-72:11:33.6,8.020392,1.88E-11
19,J0102+6537,01:02:32.9,+65:37:13.4,1.679164,5.95E-15
20,J0106+4855,01:06:25.0,+48:55:51.8,0.083157,4.28E-16
21,J0108-1431,01:08:08.3,-14:31:50.1,0.807565,7.7E-17
22,J0108+6608,01:08:22.5,+66:08:34.4,1.28366,1.31E-14
23,J0108+6905,01:08:29.5,+69:05:53,1.071118,4.81E-17
24,J0111+6624,01:11:21.8,+66:24:11,4.301872,8.36E-15
25,J0111-7131,01:11:28.7,-71:31:46.8,0.688542,7.09E-15
26,J0113-7220,01:13:11.0,-72:20:32.2,0.325883,4.86E-15
27,J0115+6325,01:15:45.8,+63:25:50.8,0.521455,1.6E-15
28,J0117+5914,01:17:38.6,+59:14:38.4,0.101439,5.85E-15
29,J0122+1416,01:22:01.3,+14:16:17,1.388994,3.8E-15
30,J0131-7310,01:31:28.5,-73:10:09.3,0.348124,1.76E-15
31,J0133-6957,01:33:32.4,-69:57:29.6,0.463474,1.2E-16
32,J0134-2937,01:34:18.6,-29:37:17.0,0.136962,7.84E-17
33,J0137+1654,01:37:23.8,+16:54:42.1,0.414763,1.22E-17
34,J0137+6349,01:37:13.3,+63:49:34,0.717963,9.6E-16
35,J0139+3336,01:39:57.2,+33:36:59.7,1.247961,2.06E-15
36,J0139+5621,01:39:38.5,+56:21:36.8,1.775344,7.91E-14
37,J0139+5814,01:39:19.7,+58:14:31.8,0.272451,1.07E-14
38,J0141+6009,01:41:39.9,+60:09:32,1.222949,3.91E-16
39,J0146+6145,01:46:22.4,+61:45:02.8,8.688994,1.99E-12
40,J0147+5922,01:47:44.6,+59:22:03.2,0.196321,2.57E-16
41,J0151-0635,01:51:22.7,-06:35:02.9,1.464665,4.43E-16
42,J0152+0948,01:52:23.7,+09:48:10,2.746647,1.7E-15
