Type,WDname,Teff(K),Mass,B(MG),Err_B(MG),P_rot(d),dP_rot(d)(low),dP_rot(d)(high)
AR Sco,AR Sco, NaN  , NaN  ,500.0, NaN  ,0.0013680555555555, NaN  , NaN  
WD,0003-103,19420,1.08,1.47, NaN  ,2.11,0.045,0.045
WD,0009+501,6540,0.74,0.3379999999999999,0.07,0.3339999999999999,0.008,0.008
WD,0041-102,20000,1.1,35.0, NaN   ,0.0913929999999999,0.000007,0.000007
WD,0253+508,15000,0.57,13.0,1,0.157917,0.00208,0.00208
WD,0257+080,6680,0.53,0.1, NaN   ,0.86875,0.49375,5.13125
WD,0322-019,5310,0.64,0.12, NaN   ,29.85,1.85,3.15
WD,0325-857,30000,1.39,317.5,132.5,0.008399618000000001,0.000000011,0.000000011
WD,0410-114,7440,0.42,3.1,  NaN   ,0.0152778,0.000347,0.000347
WD,0548-001,6200,0.7,7.3,0.3,0.17404,0.00021,0.00021
WD,0553+053,5790,0.68,20.0,3,0.0186099999999999,0.0005,0.0005
WD,0756+437,8500,1.16,220.0,   NaN  ,0.278333,0.00125,0.000833
WD,0853+163,24450,1.01,1.0,  NaN   ,0.47083,0.3875,0.52917
WD,0912+536,7160,0.75,100.0,   NaN  ,1.3309,0.0004,0.0004
WD,1015+014,14000,1.13,120.0,10,0.07292,0.00555,0.00833
WD,1026+117,7160,0.8,18.0,  NaN   ,0.028375,0.004069,0.002875
WD,1031+234,15000,0.76,600.0,   NaN  ,0.14708,0.00208,0.00208
WD,1033+656,15500,1.08,3.0,0.2,0.012912586,0.000000007,0.000000007
WD,1036-204,7800,1.27,50.0,  NaN   ,9490.0,730,730
WD,1045-091,10000,0.84,16.0,  NaN   ,0.1125,0.0292,0.0542
WD,1209+018,10000,0.56,10.12,0.93,0.06111000000000001,0.00069,0.00069
WD,1211-171,12000,0.71,50.0,  NaN   ,0.07458,0.00667,0.01042
WD,1312+098,20000,0.89,10.0, NaN   ,0.22618310000000005,0.0000005,0.0000005
WD,1334-001,22711,1.02,0.73,0.2,0.0037801,0.000061,0.000061
WD,1424+580,19830,1.05,1.2, NaN   ,0.00475,0.000071,0.000071
WD,1533-057,20000,0.84,31.0,3,0.07875,0.00004,0.00004
WD,1639+537,7510,0.7,13.0, NaN   ,0.0803,0.0000007,0.0000007
WD,1743-520,20000,1.26,36.0, NaN   ,2.8391,0.0005,0.0005
WD,1750-311,15430,  NaN,2.1,   NaN,0.024684167000000003,0.0000002,0.0000002
WD,1953-011,7920,0.71,0.3,   NaN   ,1.441769,0.000008,0.000008
WD,2047+372,14710,0.82,0.0918,0.0008,0.243168,0.000024,0.000024
WD,2157-079,21271,1.01,2.46,0.4,0.007268000000000002,0.00014,0.00014
WD,2316+123,11000,0.81,45.0,5,17.855999999999995,0.015,0.015
WD,2329+267,9400,0.84,2.31,0.59,0.11529167,0.00021,0.00021
WD,2359-434,8570,0.82,0.107, NaN   ,0.11229260000000002,0.0000025,0.0000025
WD,1900+705,16000,1.14,320.0,    NaN  ,41666.67,  NaN        ,    NaN 
WD,1748+708,5590,0.77,100.0,    NaN  ,41666.67,  NaN        ,    NaN 
WD,1829+547,6280,0.77,175.0,    NaN  ,41666.67,  NaN        ,    NaN 
WD,2010+310,18000,1.11,520.0,   NaN   ,41666.67, NaN         ,   NaN 
WD,ZTF J190132.9+145808.7,46000,1.35,900.0,,0.0048176, NaN       , NaN       
WD,SDSS J125230.93−023417.72,8237,0.65,5.0,  NaN,0.0036722,  NaN,  NaN
LongP,GLEAM-XJ162759-523504,,,320000.0,,0.0126273148148148,,
LongP,GPMJ1839-10,,,8100.0,,0.0159859953703703,,
