#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;Sgamma;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[s];[mJy];[mJy];[mJy];[erg/cm2 s];[kpc];[kpc];[kpc[;[kpc];[kpc];;;TYPE
1;J0007+7303;NAN;NAN;NAN;54952;119.66;10.463;1.7571;73.0521;0.3158731909;3.6039E-13;NAN;NAN;NAN;NAN;NAN;NAN;NAN;4.006E-10;1.4;NAN;0.254;1.196;9.181;GRS:4FGL_J0007.0+7303[fermi21],XRS:RX_J0007.0+7303[cdm+10],SNR:CTA1[hgc+04];FermiBlind;NRAD
2;J0023+0923;-12.63;-5.8;0.9;56567;111.383;-52.849;5.82032559;9.38996257;0.00305020310448;1.14234E-20;14.3281;NAN;NAN;3.6E-08;2;0.48;NAN;8.01E-12;1.111;1.248;-0.886;0.625;8.745;GRS:4FGL_J0023.4+0920[fermi21],OPT:[bvr+13];FermiAssoc;HE
3;J0030+0451;-6.21;0.5;3.08;55390;113.141;-57.611;7.61428258;4.8610309;0.004865453211255;1.01743E-20;4.33991;NAN;NAN;NAN;7.9;0.6;NAN;6.135E-11;0.325;0.345;-0.274;0.16;8.568;GRS:4FGL_J0030.4+0451[fermi21];misc,lotaas;HE[btlb00,aaa+09e]
4;J0034-0534;7.9;-9.2;NAN;55000;111.492;-68.069;8.5909759;-5.5768672;0.001877181884585;4.966E-21;13.76517;0.65;0.98;1.518E-07;24;0.61;NAN;1.625E-11;1.348;1.348;-1.25;0.468;8.684;GRS:4FGL_J0034.3-0534[fermi21];pks70;HE[aaa+10b]
5;J0101-6422;10;-12;NAN;55520;301.192;-52.72;15.2963179;-64.3750475;0.002573151972168;5.16E-21;11.926;NAN;NAN;NAN;NAN;0.28;NAN;1.047E-11;1.002;1.002;-0.797;-0.519;8.186;GRS:4FGL_J0101.1-6422[fermi21],XRS:[pb15];FermiAssoc;HE
6;J0102+4839;NAN;NAN;NAN;55196;124.874;-14.167;15.711117;48.661878;0.00296;1.17E-20;53.5;NAN;NAN;NAN;0.5;NAN;NAN;1.321E-11;2.31;2.31;-0.565;1.838;9.781;GRS:4FGL_J0102.8+4839[fermi21];FermiAssoc;HE
7;J0106+4855;NAN;NAN;NAN;55225;125.465;-13.867;16.60442;48.93106;0.083157305005;4.2792E-16;70.87;NAN;NAN;NAN;NAN;0.008;NAN;1.93E-11;3.063;3.063;-0.734;2.422;10.225;GRS:4FGL_J0106.4+4855[fermi21];FermiBlind;HE
8;J0205+6449;-1.4;0.54;NAN;55487;130.719;3.084;31.4080103;64.8281484;0.06571592849324;1.93754256E-13;140.7;2.3;NAN;NAN;NAN;0.045;NAN;5.358E-11;3.2;2.784;0.172;2.422;10.585;GRS:4FGL_J0205.7+6449[fermi21],SNR:PWN:3C58;misc;HE
9;J0218+4232;5.35;-3.74;0.16;55849.1;139.508;-17.527;34.526494038;42.53815976;0.002323090531512;7.73955E-20;61.252;1.01;NAN;NAN;47;0.9;NAN;4.56E-11;3.15;2.928;-0.949;1.95;10.784;GRS:4FGL_J0218.1+4232[fermi21];misc,gbncc;HE[khvb98,aaa+09f]
10;J0248+6021;48;48;NAN;54000;136.903;0.697;42.077571;60.359644;0.217094;5.509E-14;370;26;14;NAN;NAN;13.7;NAN;5.163E-11;2;25;0.024;1.366;9.96;GRS:4FGL_J0248.4+6021[fermi21];misc;HE[tpc+11]
