PSRJ,RAJ,RAJ_UNC,DECJ,DECJ_UNC,PMRA,PMRA_UNC,PMDEC,PMDEC_UNC,PX,PX_UNC,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,
,[hms],,[dms],,[mas / yr],[mas / yr],[mas / yr],[mas / yr],[mas],[mas],[MJD],(only if different from the ATNF),,
J0014+4746,00:14:17.75,0.04,+47:46:33.4,0.3,19.3,1.8,-19.7,1.5,*,0,49664,,PSR,
J0023+0923,00:23:16.8,0.00052,+09:23:23.8,0.017,-12.4,0.5,-6.1,0.1,0.4,0.3,56567,Perera+ 2019,PSR,
J0024-7204ab,00:24:08.1615,0.0005,-72:04:47.602,0.002,4.2,0.6,-2.9,0.5,*,0,51600,,PSR,
J0024-7204C,00:23:50.3546,0.0001,-72:04:31.5048,0.0004,5.2,0.1,-3.1,0.1,*,0,51600,,PSR,
J0024-7204D,00:24:13.88092,6E-05,-72:04:43.8524,0.0002,4.24,0.07,-2.24,0.05,*,0,51600,,PSR,
J0024-7204E,00:24:11.10528,5E-05,-72:05:20.1492,0.0002,6.15,0.03,-2.35,0.06,*,0,51600,,PSR,
J0024-7204F,00:24:03.85547,0.0001,-72:04:42.8183,0.0002,4.52,0.08,-2.5,0.05,*,0,51600,,PSR,
J0024-7204G,00:24:07.9603,0.0001,-72:04:39.7030,0.0005,4.5,0.1,-2.9,0.1,*,0,51600,,PSR,
J0024-7204H,00:24:06.7032,0.0002,-72:04:06.8067,0.0006,5.1,0.2,-2.8,0.2,*,0,51600,,PSR,
J0024-7204I,00:24:07.9347,0.0002,-72:04:39.6815,0.0007,5,0.2,-2.1,0.2,*,0,51600,,PSR,
J0024-7204J,00:23:59.4077,0.0001,-72:03:58.7908,0.0005,5.27,0.06,-3.59,0.09,*,0,51600,,PSR,
J0024-7204L,00:24:03.7721,0.0003,-72:04:56.923,0.002,4.4,0.2,-2.4,0.2,*,0,51600,,PSR,
J0024-7204M,00:23:54.4899,0.0003,-72:05:30.756,0.002,5,0.3,-2,0.4,*,0,51600,,PSR,
J0024-7204N,00:24:09.1880,0.0002,-72:04:28.8907,0.0007,6.3,0.2,-2.8,0.2,*,0,51600,,PSR,
J0024-7204O,00:24:04.65254,6E-05,-72:04:53.7670,0.0002,5.01,0.05,-2.58,0.08,*,0,51600,,PSR,
J0024-7204Q,00:24:16.4909,0.0001,-72:04:25.1644,0.0006,5.2,0.1,-2.6,0.1,*,0,51600,,PSR,
J0024-7204R,00:24:07.5851,0.0002,-72:04:50.3954,0.0005,4.8,0.1,-3.3,0.2,*,0,51600,,PSR,
J0024-7204S,00:24:03.9794,0.0001,-72:04:42.3530,0.0004,4.5,0.1,-2.5,0.1,*,0,51600,,PSR,
J0024-7204T,00:24:08.5491,0.0005,-72:04:38.932,0.003,5.1,0.6,-2.6,0.7,*,0,51600,,PSR,
J0024-7204U,00:24:09.8366,0.0001,-72:03:59.6882,0.0004,4.6,0.2,-3.8,0.1,*,0,51600,,PSR,
J0024-7204W,00:24:06.058,0.001,-72:04:49.088,0.002,6.1,0.5,-2.6,0.3,*,0,50000,,PSR,
J0024-7204X,00:24:22.38565,9E-05,-72:01:17.4414,0.0007,5.8,0.1,-3.3,0.2,*,0,54000,,PSR,
J0024-7204Y,00:24:01.4026,0.0001,-72:04:41.8363,0.0004,4.4,0.1,-3.4,0.1,*,0,51600,,PSR,
J0024-7204Z,00:24:06.041,0.002,-72:05:01.480,0.006,4,2,1,2,*,0,51600,,PSR,
J0030+0451,00:30:27.427,0.0022,+04:51:39.71,0.076,-6.4,0.1,0.9,0.3,2.94,0.09,55390,Perera+ 2019,PSR,
J0034-0534,00:34:21.83422,8E-05,-05:34:36.722,0.003,7.9,0.3,-9.2,0.6,*,0,55000,Perera+ 2019,PSR,
J0034-0721,00:34:08.8703,0.0001,-07:21:53.409,0.002,10.37,0.08,-11.13,0.16,0.93,0.08,52275,,PSR,
J0040+5716,00:40:32.3899,0.0001,+57:16:24.833,0.001,12.39,0.05,-5.4,0.1,0.11,0.04,49667,,PSR,
J0045-7319,00:45:35.255 ,0.01,-73:19:03.32,0.01,0.31,0.11,-0.931,0.099,0.04,0.06,57205.875,Jennings+ 2018,Binary PSR,
J0055+5117,00:55:45.3981,0.0001,+51:17:24.601,0.001,10.47,0.07,-17.4,0.1,0.35,0.06,49664,,PSR,
J0101-6422,01:01:11.1163,0.0002,-64:22:30.171,0.002,10,1,-12,2,*,0,55520,,PSR,
J0102+6537,01:02:32.9914,0.0001,+65:37:13.416,0.001,9.24,0.07,1.77,0.15,0.4,0.04,49675,,PSR,
J0108-1431,01:08:08.347016,8.8E-05,-14:31:50.1871,0.0011,75.1,2.3,-152.5,1.7,4.2,1.4,54100,,PSR,
J0108+6608,01:08:22.5049,0.0003,+66:08:34.499,0.001,-32.75,0.03,35.15,0.04,0.47,0.03,50011,,PSR,
J0134-2937,01:34:18.6824,0.0003,-29:37:17.042,0.007,17,1,-9,2,*,0,54428,,PSR,
J0139+5814,01:39:19.7401,0.0012,+58:14:31.819,0.017,-19.11,0.07,-16.6,0.07,0.37,0.04,52275,,PSR,
J0146+6145,01:46:22.42,0.1,+61:45:02.8,0.7,-4.1,1,1.9,1,*,0,49031,,PSR,
J0147+5922,01:47:44.6434,0.0001,+59:22:03.284,0.001,-6.38,0.092,3.826,0.075,0.495,0.0675,53160,Deller+ 2019,PSR,
J0151-0635,01:51:22.7179,0.0002,-06:35:02.987,0.002,10.697,0.119,-5.373,0.069,0.217,0.087,49347,Deller+ 2019,PSR,
J0152-1637,01:52:10.8539,0.0001,-16:37:53.641,0.002,0.804,0.217,-31.372,0.368,0.44,0.2,48227,Deller+ 2019,PSR,
J0154+1833,01:54:36.88273,3E-05,+18:33:50.758,0.009,10.3,0.9,-8.9,1.9,*,0,56900,,PSR,
J0157+6212,01:57:49.9434,0.0001,+62:12:26.648,0.001,1.57,0.06,44.8,0.04,0.56,0.03,49709,,PSR,
J0205+6449,02:05:37.92247,0.00015,+64:49:41.3343,0.001,-1.4,0.16,0.54,0.16,*,0,55487,,PSR,
J0206-4028,02:06:01.293,0.005,-40:28:03.62,0.07,9,4,26,5,*,0,57600,,PSR,
J0218+4232,02:18:06.358569,4E-06,+42:32:17.37515,8E-05,5.31,0.08,-3.1,0.1,0.16,0.09,55849.1,Perera+ 2019,PSR,
J0248+6021,02:48:18.617,0.001,+60:21:34.72,0.01,48,10,48,4,*,0,54000,,PSR,
J0255-5304,02:55:56.2925,0.0009,-53:04:21.275,0.009,25,4,7,3,*,0,57600,,PSR,
J0304+1932,03:04:33.115,0.016,+19:32:51.4,0.8,6,7,-37,4,*,0,49289,,PSR,
J0323+3944,03:23:26.6619,0.0001,+39:44:52.403,0.001,26.5,0.05,-30.77,0.02,1.05,0.04,49290,,PSR,
J0332+5434,03:32:59.4096,0.0001,+54:34:43.329,0.001,16.97,0.03,-10.37,0.05,0.59,0.02,46473,,PSR,
J0335+4555,03:35:16.6416,0.0001,+45:55:53.452,0.001,-3.66,0.05,-0.08,0.12,0.41,0.02,49912,,PSR,
J0337+1715,03:37:43.82589,0.00013,+17:15:14.828,0.002,4.81,0.49,-4.42,0.42,0.73,0.24,55920,,Binary PSR,
J0340+4130,03:40:23.2,0.00061,41:30:45.2,0.016,0,0.4,-4.4,0.8,0.4,0.4,56675,Perera+ 2019,PSR,
