#,PSRJ,PMRA,PMDEC,PX,POSEPOCH,Gl,Gb,RAJD,DECJD,P0,P1,DM,TAU_SC,S400,S1400,S2000,DIST,ZZ,XX,YY,ASSOC,SURVEY,,,,,,,,
,,[mas/yr],[mas/yr],[mas],[MJD],[deg],[deg],[deg],[deg],[s],[s/s],[cm^-3pc],[s],[mJy],[mJy],[mJy],[kpc],[kpc],[kpc],[kpc],,,,,,,,,,
1,J0002+6216,NAN,NAN,NAN,55806,117.327,-0.074,0.742375,62.26927778,0.115364,5.97E-15,218.6,NAN,NAN,0.02,NAN,6.357,-0.008,5.648,11.418,GRS:3FGL_J0002.6+6218[aaa+15],XRS:1XSPS_,FermiBlind,,,,,,,
2,J0006+1834,NAN,NAN,NAN,49079.5,108.172,-42.985,1.52,18.58305556,0.693748,2.1E-15,11.41,NAN,0.2,NAN,NAN,0.86,-0.586,0.598,8.696,NAN,ar4,,,,,,,,
3,J0007+7303,NAN,NAN,NAN,54952,119.66,10.463,1.75708333,73.05205556,0.315873,3.6E-13,NAN,NAN,NAN,NAN,NAN,1.4,0.254,1.196,9.181,GRS:2FGL_J0007.0+7303[naa+12],XRS:RX_J00,FermiBlind,,,,,,,
4,J0011+08,NAN,NAN,NAN,57022,106.228,-53.407,2.89166667,8.16666667,2.55287,NAN,24.9,NAN,NAN,NAN,NAN,5.399,-4.335,3.09,9.399,NAN,ar327,,,,,,,,
5,J0014+4746,19.3,-19.7,NAN,49664,116.497,-14.631,3.57395833,47.77594444,1.240699,5.64E-16,30.41,0,14,3,NAN,1.776,-0.449,1.538,9.267,NAN,gb1,gb2,gb3,lotaas,,,,,
6,J0021-0909,NAN,NAN,NAN,NAN,100.291,-70.726,5.46445833,-9.16630556,2.314131,1.04E-15,25.2,NAN,NAN,0.13,NAN,25,-23.599,8.119,9.974,NAN,fast_uwb,,,,,,,,
7,J0024-7204aa,NAN,NAN,NAN,57022,305.895,-44.889,6.023625,-72.08128333,0.00184,NAN,24.97,NAN,NAN,NAN,NAN,2.688,-1.897,-1.543,7.383,GC:47Tuc,XRS:[bhc+17],misc,,,,,,,
8,J0024-7204ab,4.2,-2.9,NAN,51600,305.891,-44.891,6.03400625,-72.07988944,0.003705,9.82E-21,24.37,NAN,NAN,NAN,NAN,2.54,-1.793,-1.458,7.445,GC:47Tuc,XRS:[bhc+17],misc,,,,,,,
9,J0024-7204C,5.2,-3.1,NAN,51600,305.923,-44.892,5.95981083,-72.075418,0.005757,-4.99E-20,24.6,NAN,1.53,0.52,0.23,4.69,-3.31,-2.691,6.551,GC:47Tuc,XRS:[bgh+06],pksgc,,,,,,,
10,J0024-7204D,4.24,-2.24,NAN,51600,305.881,-44.893,6.05783717,-72.07884789,0.005358,-3.42E-21,24.74,NAN,0.95,0.35,0.2,4.69,-3.31,-2.692,6.553,GC:47Tuc,XRS:[bgh+06],pksgc,,,,,,,
11,J0024-7204F,4.52,-2.5,NAN,51600,305.899,-44.892,6.01606446,-72.07856064,0.002624,6.45E-20,24.38,NAN,NAN,NAN,NAN,4.69,-3.31,-2.691,6.552,GC:47Tuc,XRS:[bgh+06],pksgc,,,,,,,
12,J0024-7204G,4.5,-2.9,NAN,51600,305.891,-44.893,6.03316792,-72.07769528,0.00404,-4.22E-20,24.44,NAN,NAN,NAN,NAN,4.69,-3.31,-2.692,6.552,GC:47Tuc,XRS:[bgh+06],pksgc,,,,,,,
13,J0024-7204L,4.4,-2.4,NAN,51600,305.898,-44.888,6.01571708,-72.08247861,0.004346,-1.22E-19,24.4,NAN,NAN,NAN,NAN,4.69,-3.31,-2.692,6.552,GC:47Tuc,XRS:[bgh+06],pksgc,,,,,,,
14,J0024-7204M,5,-2,NAN,51600,305.913,-44.877,5.97704125,-72.09187667,0.003677,-3.84E-20,24.43,NAN,NAN,NAN,NAN,4.69,-3.309,-2.692,6.551,GC:47Tuc,XRS:[bgh+06],pksgc,,,,,,,
15,J0024-7204N,6.3,-2.8,NAN,51600,305.89,-44.897,6.03828333,-72.07469186,0.003054,-2.19E-20,24.57,NAN,NAN,NAN,NAN,4.69,-3.31,-2.692,6.552,GC:47Tuc,XRS:[bgh+06],pksgc,,,,,,,
16,J0024-7204Z,4,1,NAN,51600,305.894,-44.887,6.02517083,-72.08374444,0.004554,-4.54E-21,24.45,NAN,NAN,NAN,NAN,2.559,-1.806,-1.469,7.437,GC:47Tuc,XRS:[bhc+17],misc,,,,,,,
17,J0026+6320,NAN,NAN,NAN,56675,120.176,0.593,6.71067083,63.333575,0.318358,1.51E-16,245.06,0,NAN,1,NAN,6.619,0.069,5.722,11.827,NAN,misc,,,,,,,,
18,J0030+0451,-6.213,0.489,3.08,55390,113.141,-57.611,7.61428258,4.8610309,0.004865,1.02E-20,4.34,NAN,7.9,0.6,NAN,0.325,-0.274,0.16,8.568,GRS:2FGL_J0030.4+0450[naa+12],misc,lotaas,,,,,,,
19,J0033+57,NAN,NAN,NAN,54100,120.41,-5.781,8.25,57,0.315,NAN,76,NAN,NAN,NAN,NAN,2.255,-0.227,1.935,9.636,NAN,gb350,lotaas,,,,,,,
20,J0033+61,NAN,NAN,NAN,54100,120.698,-1.792,8.25,61,0.912,NAN,37,NAN,NAN,NAN,NAN,1.64,-0.051,1.409,9.337,NAN,gb350,lotaas,,,,,,,
21,J0034-0721,10.37,-11.13,0.93,52275,110.42,-69.815,8.53695958,-7.36483583,0.942951,4.08E-16,10.92,0,52,11.1,NAN,1.03,-0.967,0.333,8.624,NAN,mol1,pks70,lotaas,,,,,,
22,J0034+69,NAN,NAN,NAN,56292,121.411,6.896,8.5,69.71666667,0.036804,NAN,80,NAN,4.5,NAN,NAN,2.283,0.274,1.934,9.681,NAN,gbncc,,,,,,,,
23,J0038-2501,NAN,NAN,NAN,57474,67.413,-86.354,9.54276667,-25.02520278,0.256926,7.6E-19,5.71,NAN,NAN,NAN,NAN,0.604,-0.603,0.035,8.485,NAN,gbncc,,,,,,,,
24,J0039+35,NAN,NAN,NAN,NAN,120.121,-27.054,9.775,35.75,0.5367,NAN,53.04,NAN,NAN,NAN,NAN,25,-11.371,19.258,19.673,NAN,lotaas,,,,,,,,
25,J0040+5716,12.39,-5.4,0.11,49667,121.452,-5.567,10.13495792,57.27356472,1.118225,2.88E-15,92.51,NAN,7.5,0.6,NAN,2.42,-0.235,2.055,9.757,NAN,gb2,gbncc,lotaas,,,,,,
26,J0043-73,NAN,NAN,NAN,57990.69,303.737,-43.932,10.85416667,-73.18333333,0.937429,NAN,115.1,NAN,NAN,0.05,NAN,58.938,-40.892,-35.297,-15.073,EXGAL:SMC,misc,,,,,,,,
27,J0045-7042,NAN,NAN,NAN,52407,303.652,-46.418,11.35704167,-70.70197222,0.632336,2.49E-15,70,NAN,NAN,0.11,NAN,59.7,-43.246,-34.26,-14.307,EXGAL:SMC,misc,,,,,,,,
28,J0048+3412,NAN,NAN,NAN,49875,122.255,-28.666,12.14160282,34.20223077,1.217094,2.35E-15,39.92,0,2.3,NAN,NAN,4.5,-2.159,3.339,10.607,NAN,gb2,gb3,lotaas,,,,,,
29,J0050+03,NAN,NAN,NAN,57022,122.485,-59.071,12.62916667,3.8,1.36656,NAN,26.5,NAN,NAN,NAN,NAN,25,-21.445,10.839,15.401,NAN,ar327,,,,,,,,
30,J0051+0423,NAN,NAN,NAN,49800,122.962,-58.491,12.87541667,4.38027778,0.354732,7E-18,13.9,NAN,3,0.5,NAN,1.247,-1.063,0.547,8.855,NAN,gb4,lotaas,,,,,,,
31,J0052-72,NAN,NAN,NAN,58008.54,302.82,-45.045,13.11666667,-72.08333333,0.191444,NAN,158.6,NAN,NAN,0.04,NAN,60.261,-42.644,-35.781,-14.577,EXGAL:SMC,misc,,,,,,,,
32,J0054+66,NAN,NAN,NAN,54100,123.193,3.13,13.5,66,1.39,NAN,15,NAN,NAN,NAN,NAN,0.901,0.049,0.753,8.993,NAN,gb350,,,,,,,,
33,J0054+69,NAN,NAN,NAN,NAN,123.2,6.563,13.61666667,69.43333333,NAN,NAN,90.3,NAN,NAN,NAN,NAN,2.347,0.268,1.951,9.777,NAN,gbncc,,,,,,,,
34,J0054+6946,NAN,NAN,NAN,56500,123.241,6.902,13.7463175,69.77134719,0.832911,7.19E-16,116.52,NAN,NAN,NAN,NAN,2.758,0.331,2.29,10.001,NAN,gbncc,,,,,,,,
35,J0055+5117,10.47,-17.4,0.35,49664,123.621,-11.576,13.93915875,51.29016694,2.115171,9.54E-15,44.01,0,3.4,1.5,NAN,2.857,-0.573,2.331,10.05,NAN,gb2,lotaas,,,,,,,
36,J0056+4756,NAN,NAN,NAN,49872,123.796,-14.927,14.10630345,47.93626269,0.472037,3.33E-15,18.14,NAN,3,NAN,NAN,1.123,-0.289,0.902,9.104,NAN,gb2,lotaas,,,,,,,
37,J0057-7201,NAN,NAN,NAN,51213,302.244,-45.098,14.43333333,-72.02194444,0.738062,1E-16,27,NAN,NAN,NAN,NAN,3.476,-2.462,-2.075,7.191,NAN,misc,,,,,,,,
38,J0058+4950,NAN,NAN,NAN,56500,124.045,-13.017,14.54162336,49.84055678,0.996023,8.04E-16,66.95,NAN,NAN,NAN,NAN,2.646,-0.596,2.136,9.943,NAN,gbncc,,,,,,,,
39,J0058+6125,NAN,NAN,NAN,54100,123.717,-1.445,14.5,61.41666667,0.637,NAN,129,NAN,NAN,NAN,NAN,2.606,-0.066,2.167,9.946,NAN,gb350,,,,,,,,
40,J0059+69,NAN,NAN,NAN,NAN,123.629,7.056,14.875,69.91666667,1.1459,NAN,63.53,NAN,NAN,NAN,NAN,2.048,0.252,1.692,9.626,NAN,lotaas,,,,,,,,
41,J0100-7211,NAN,NAN,NAN,53032,301.93,-44.918,15.17929167,-72.19266667,8.020392,1.88E-11,NAN,NAN,NAN,NAN,NAN,59.7,-42.153,-35.878,-13.859,EXGAL:SMC,XRS:CXOU_J010043.1-721134,misc,,,,,,,
42,J0100+8023,NAN,NAN,NAN,56676,123.318,17.53,15.06704167,80.39493056,1.493601,3.54E-16,56.01,NAN,NAN,NAN,NAN,2.848,0.858,2.269,9.992,NAN,lotaas,,,,,,,,
43,J0102+6537,9.24,1.77,0.4,49675,124.08,2.773,15.63746417,65.62039333,1.679164,5.95E-15,65.85,NAN,8.5,1.2,NAN,2.5,0.121,2.068,9.899,NAN,gb1,gb3,gbncc,lotaas,,,,,
44,J0103+54,NAN,NAN,NAN,56657,124.741,-8.796,15.90416667,54.03333333,0.354304,NAN,55.6,NAN,NAN,NAN,NAN,2.01,-0.307,1.632,9.632,NAN,gbncc,,,,,,,,
45,J0106+4855,NAN,NAN,NAN,55225,125.465,-13.867,16.60441667,48.93105556,0.083157,4.28E-16,70.87,NAN,NAN,0.01,NAN,3.063,-0.734,2.422,10.225,GRS:2FGL_J0106.5+4854[naa+12],FermiBlind,,,,,,,,
46,J0107+1322,NAN,NAN,NAN,57972,128.991,-49.305,16.91645833,13.37547222,1.197383,6.87E-16,21.67,NAN,NAN,NAN,NAN,2.349,-1.781,1.19,9.464,NAN,lotaas,,,,,,,,
47,J0108-1431,75.1,-152.5,4.2,54100,140.93,-76.815,17.03477923,-14.53060753,0.807565,7.7E-17,2.38,NAN,9,1.4,NAN,0.21,-0.204,0.03,8.537,NAN,pks70,,,,,,,,
48,J0108+6608,-32.75,35.15,0.47,50011,124.646,3.328,17.09377042,66.14291639,1.28366,1.31E-14,30.55,0,10,0.9,NAN,2.128,0.123,1.747,9.708,NAN,jb1,gb1,gb2,lotaas,,,,,
49,J0108+6905,NAN,NAN,NAN,49875,124.461,6.277,17.12293293,69.09795221,1.071118,4.81E-17,61.06,NAN,3.7,0.4,NAN,1.981,0.217,1.624,9.614,NAN,gb2,gbncc,lotaas,,,,,,
50,J0111+6624,NAN,NAN,NAN,56500,124.928,3.609,17.8411505,66.40299564,4.301872,8.36E-15,111.2,NAN,NAN,NAN,NAN,2.412,0.152,1.974,9.878,NAN,gbncc,,,,,,,,
51,J0111-7131,NAN,NAN,NAN,52369,300.669,-45.51,17.869875,-71.52966667,0.688542,7.09E-15,76,NAN,NAN,0.06,NAN,59.7,-42.589,-35.985,-12.84,EXGAL:SMC,misc,,,,,,,,
52,J0113-7220,NAN,NAN,NAN,51212,300.615,-44.688,18.29620833,-72.34227778,0.325883,4.86E-15,125.49,NAN,NAN,0.4,NAN,59.7,-41.984,-36.527,-13.115,EXGAL:SMC,misc,,,,,,,,
53,J0115+6325,NAN,NAN,NAN,57876,125.648,0.687,18.941125,63.43077778,0.521455,1.6E-15,65.07,NAN,NAN,NAN,NAN,1.931,0.023,1.569,9.625,NAN,lotaas,,,,,,,,
54,J0117+5914,-3.316,18.083,NAN,49751,126.283,-3.457,19.41108846,59.24399732,0.101439,5.85E-15,49.42,0,7.6,0.3,NAN,1.768,-0.107,1.423,9.544,XRS:[pb15],gb3,gbncc,lotaas,,,,,,
55,J0122+1416,NAN,NAN,NAN,57876,134.03,-47.94,20.50545833,14.27138889,1.388994,3.8E-15,17.69,NAN,NAN,NAN,NAN,1.584,-1.176,0.763,9.238,NAN,misc,lotaas,,,,,,,
56,J0125-23,NAN,NAN,NAN,55561,189.069,-81.541,21.29166667,-23.45722222,0.003676,NAN,10,NAN,NAN,NAN,NAN,0.918,-0.908,-0.021,8.633,NAN,htru_pks,,,,,,,,
57,J0125+62,NAN,NAN,NAN,56292,126.899,-0.022,21.5,62.58333333,1.708233,NAN,118,NAN,3.4,NAN,NAN,2.403,-0.001,1.922,9.943,NAN,gbncc,,,,,,,,
58,J0131-7310,NAN,NAN,NAN,52335,298.944,-43.648,22.86879167,-73.16926111,0.348124,1.76E-15,205.2,NAN,NAN,0.15,NAN,59.7,-41.206,-37.803,-12.406,EXGAL:SMC,misc,,,,,,,,
59,J0133-6957,NAN,NAN,NAN,49980.2,297.691,-46.739,23.38525,-69.95824444,0.463474,1.2E-16,22.95,NAN,5,NAN,NAN,2.441,-1.778,-1.481,7.723,NAN,pks70,,,,,,,,
60,J0134-2937,17,-9,NAN,54428,230.251,-80.25,23.57784333,-29.62140056,0.136962,7.84E-17,21.81,NAN,9,3.9,NAN,25,-24.639,-3.255,11.207,NAN,pks70,,,,,,,,
61,J0137+1654,NAN,NAN,NAN,52225,138.449,-44.571,24.3495,16.91169444,0.414763,1.22E-17,26.08,NAN,1.4,NAN,NAN,3.061,-2.148,1.446,10.132,NAN,ar4,lotaas,,,,,,,
62,J0137+6349,NAN,NAN,NAN,56500,127.955,1.402,24.30569116,63.82620927,0.717963,9.6E-16,285.5,NAN,NAN,NAN,NAN,9.097,0.223,7.171,14.093,NAN,gbncc,,,,,,,,
63,J0139+3336,NAN,NAN,NAN,57901,134.381,-28.174,24.98845833,33.61658333,1.247961,2.06E-15,21.23,NAN,NAN,NAN,NAN,1.472,-0.695,0.927,9.408,NAN,misc,lotaas,,,,,,,
64,J0139+5621,NAN,NAN,NAN,56000,129.609,-5.885,24.91066667,56.36022222,1.775344,7.91E-14,101.84,NAN,0.7,0.02,NAN,2.41,-0.247,1.847,10.028,NAN,misc,lotaas,,,,,,,
65,J0139+5814,-19.11,-16.6,0.37,52275,129.216,-4.044,24.83225042,58.24217194,0.272451,1.07E-14,73.81,0,28,4.6,NAN,2.6,-0.183,2.009,10.14,NAN,gb1,gb2,gb3,gb4,gbncc,lotaas,,,
66,J0141+6009,NAN,NAN,NAN,49293,129.147,-2.105,25.416409,60.15897317,1.222949,3.91E-16,34.93,0,49,4.5,NAN,2.3,-0.084,1.783,9.951,NAN,misc,gb3,gb4,gbncc,lotaas,,,,
67,J0141+63,NAN,NAN,NAN,56292,128.497,0.798,25.25,63.13333333,0.046686,NAN,272.6,NAN,1.3,NAN,NAN,8.765,0.122,6.859,13.955,NAN,gbncc,,,,,,,,
68,J0146+31,NAN,NAN,NAN,57022,136.532,-30.353,26.5625,31.06666667,0.9381,NAN,25,NAN,NAN,NAN,NAN,1.826,-0.923,1.084,9.644,NAN,misc,,,,,,,,
69,J0146+6145,-4.1,1.9,NAN,49031,129.384,-0.431,26.59341667,61.75077778,8.688994,1.99E-12,NAN,NAN,NAN,NAN,NAN,3.6,-0.027,2.782,10.784,XRS:4U_0142+61,misc,,,,,,,,
