t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,1000000000000.0,1.7820939e+36,0.001,9.091238205484506e-13,1.0471975511965976,0.001,2.59749663013843e-13,0.001,2.4411322000738284e-13,300000000000000.0,50,52000000000000.0
1.0,999438730000.0,1.062689e+35,0.001025430158006588,8.829381194489108e-13,1.0409515629452768,0.0010073419429879036,2.5759691736656413e-13,0.0010069014714487639,2.4219596841114823e-13,300000000000000.0,50,52000000000000.0
2.0,999395150000.0,1.0263796e+35,0.0010528693414087462,8.569857544266145e-13,1.0343138228458995,0.0010154334291032144,2.555211015467568e-13,0.0010145109495334546,2.40357564600798e-13,300000000000000.0,50,52000000000000.0
3.0,999351730000.0,1.0026749e+35,0.0010795281287614153,8.330585754681532e-13,1.0279624409709354,0.0010234607521156232,2.534949431077047e-13,0.0010220635661270766,2.3856069504740784e-13,300000000000000.0,50,52000000000000.0
4.0,999308400000.0,9.8303859e+34,0.0011054652847660685,8.109058832775531e-13,1.0218721588989468,0.0010314253819248694,2.51515661342065e-13,0.0010295605484525645,2.3680303195764165e-13,300000000000000.0,50,52000000000000.0
5.0,999265140000.0,9.6504808e+34,0.001130732881915438,7.903197820908706e-13,1.0160209160008902,0.0010393287591503417,2.4958145765568815e-13,0.0010370031032729194,2.3508315341393185e-13,300000000000000.0,50,52000000000000.0
6.0,999221950000.0,9.4727505e+34,0.0011553771326794902,7.711247790728786e-13,1.0103893922707579,0.0010471722779311673,2.47690632537949e-13,0.0010443924013500447,2.3339971294003573e-13,300000000000000.0,50,52000000000000.0
7.0,999178840000.0,9.2894683e+34,0.0011794385507511032,7.53173050451479e-13,1.0049608141745983,0.0010549572121353466,2.458416291669966e-13,0.0010517295112700542,2.3175147668993286e-13,300000000000000.0,50,52000000000000.0
8.0,999135850000.0,9.0942686e+34,0.0012029541812177877,7.363364162123611e-13,0.9997200715992435,0.0010626848677517567,2.4403292739071544e-13,0.0010590155348148772,2.3013723569504e-13,300000000000000.0,50,52000000000000.0
9.0,999093010000.0,8.834973e+34,0.0012259579005866137,7.20503386759698e-13,0.994653541739993,0.0010703565682402966,2.4226303513143214e-13,0.0010662515939310173,2.285557970247555e-13,300000000000000.0,50,52000000000000.0
10.0,999050420000.0,8.5458279e+34,0.0012484772110363722,7.055832394416996e-13,0.9897500925131049,0.0010779732319057948,2.4053083689211506e-13,0.0010734384525183777,2.2700628584046399e-13,300000000000000.0,50,52000000000000.0
20.0,998636480000.0,6.3441625e+34,0.0014520824771076368,5.921545830906864e-13,0.9477283715824474,0.0011513580597244115,2.2501360576962794e-13,0.0011428101075657013,2.130499228009007e-13,300000000000000.0,50,52000000000000.0
30.0,998248100000.0,5.0561784e+34,0.0016268810946469389,5.180156891170122e-13,0.9145693315741801,0.0012203095007607741,2.121346898074768e-13,0.0012081775000989691,2.0136648373680276e-13,300000000000000.0,50,52000000000000.0
40.0,997876850000.0,4.3611994e+34,0.0017819096909188357,4.648287379214276e-13,0.8870837003097588,0.0012855390312095374,2.0122111482062144e-13,0.0012701573449553913,1.9139805764327887e-13,300000000000000.0,50,52000000000000.0
50.0,997517690000.0,3.9294867e+34,0.0019223123038529515,4.243455431400304e-13,0.8635675885244581,0.0013475860581829455,1.9181802087747855e-13,0.0013292226502913144,1.8276138100694096e-13,300000000000000.0,50,52000000000000.0
60.0,997167520000.0,3.6401348e+34,0.002051333712762817,3.922464560213684e-13,0.8429991233123268,0.0014068683093012954,1.8360667016765063e-13,0.0013857430761066959,1.7518438101734497e-13,300000000000000.0,50,52000000000000.0
70.0,996824490000.0,3.4289826e+34,0.002171206466128853,3.660031655072105e-13,0.8247062781291663,0.0014637261955028108,1.7635249317043634e-13,0.0014400224629178622,1.684645292965856e-13,300000000000000.0,50,52000000000000.0
