,age,r,phi,z,v_r,v_phi,v_z,weights
,[yr],[kpc],[rad],[kpc],[km/s],[km/s],[km/s],
906997,43930134.07456808,6.987680633851312,8.22093788084309,-0.4241288842006584,-96.68592651198408,128.48270998228696,-76.91939984931437,1.0
440267,83357541.92161413,11.575698099088507,8.658264737834255,-1.2392884251311074,462.1352504991398,-113.66817139476578,-126.34422767234516,1.0
1036682,55567540.67521533,9.330672608349447,8.191470950625105,-1.3301939346561686,-199.06057833753,-57.47692774610064,-171.15771833814082,1.0
1257583,44876112.21610464,9.718723947735256,10.025811917201347,0.8629429457315054,-150.34870904406563,-129.4724324129372,186.2196449475782,1.0
613356,83485364.33514641,6.946961375501492,2.592941071185308,0.07785974969512734,215.52937229623956,-107.86243640620012,-56.43811803721682,1.0
2634352,24502874.378668472,17.786489935071412,13.784013061375367,-0.30511582930503245,-114.9514786154485,-226.1219334277253,-50.17845038276697,1.0
82162,58173752.99266502,4.203487493410645,2.9574860253998816,-1.8014739309404728,416.2669059229897,-270.68619714449414,-315.99594042842085,1.0
1676069,14459056.505104333,12.33192497579925,9.260784511288453,-0.1050838513853238,31.670964429148068,-198.197397873348,0.9356171174374072,1.0
594304,25384620.384908654,11.796857755647206,6.839777483827716,-0.9527499661634641,-121.9237208427144,47.09917095602193,-64.0785165348141,1.0
2904784,91272496.62448522,3.636039656683733,8.00554014603983,-2.4978125571211622,-368.1699092412055,-156.36379501301838,-222.10758261274606,1.0
2076967,65921586.4389462,5.012041972166829,4.395067855661415,2.4210458954923206,272.82013569315257,-29.9597405862062,322.2964442115165,1.0
509491,17393139.762446046,10.053724162846454,9.635217721322944,0.5696747249934055,-377.49938085920286,52.875545459136276,100.15649228622499,1.0
2634427,59684970.851681836,3.3830767576649303,4.951126530936426,0.24933086071724814,-132.17164402924809,-138.43149698189094,73.45975337994554,1.0
1263322,11341412.326908048,8.531875791590197,8.22995642093042,-0.0819601004261033,-151.5722176995266,-147.86200079290006,16.34413219329799,1.0
2075631,57125566.37752303,10.774425196997626,8.355892065429023,2.1826582854696803,26.253313137613066,96.573376534226,366.76466751384766,1.0
946546,81193307.98196827,1.922202914405743,3.8503336464735,-0.1302252551509717,-242.56349207888226,-89.50103728664091,-39.042993662609746,1.0
2059502,598747.4207998314,10.826984951235923,8.024529124020777,-0.1816742208492671,162.20207223997318,113.89703311818,-490.63684183610434,1.0
2503877,86017885.55301067,10.479662839384105,9.990804243195237,-2.3965643280750593,-168.79485826146376,-125.69686953192502,-263.003780890643,1.0
2966583,60266130.94232499,15.325334288045898,7.995627754718794,0.7271177353935687,92.8569725108018,-467.68057660125885,151.61537077543124,1.0
863326,62161752.49069089,7.448776214789215,5.8224135472142855,1.8254269240779029,229.57274494055457,-440.36663629969485,266.4379250772253,1.0
390085,3812429.732074341,9.849167604837833,7.896221337591977,-0.049580830565305815,120.77880653578542,-940.373354032982,294.20609522966237,1.0
58100,33058630.256759815,10.513118579672913,7.279607527705262,-1.892541396366612,-420.25170271571284,-804.0152235378868,-554.0427903828037,1.0
2036506,48028184.37160936,4.546498010091689,3.9173273608698964,1.2122899718566975,114.8854645893626,-164.20579807625475,152.11986683792549,1.0
1242167,47881754.63870241,9.09088050340433,6.575083487420068,-0.17934553917378998,-226.9854988793805,-111.71252514877558,-232.17925977100987,1.0
1242537,2548514.324631262,1.796489541888619,2.726962550057351,0.18093385780800333,-275.0016167838279,-263.57695849797364,128.90025543509452,1.0
1607689,44716744.76261146,2.014301835479372,0.20793707333487876,-0.6562022952914378,-80.58002669794305,-393.76597051054415,-114.15775181464102,1.0
