t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,10000000000000.0,2.6907994e+37,0.001,1.016740849168614e-10,1.0471975511965976,0.001,2.904973854767468e-11,0.001,6.488479166223694e-11,300000000000000.0,50,52000000000000.0
0.99999997765,9994147800000.0,1.5041118e+35,0.0025021508896889283,3.4613215526201646e-11,0.777621817253944,0.0016283663041729611,1.7821189233390846e-11,0.002166199822463465,2.992213580799481e-11,300000000000000.0,50,52000000000000.0
2.0119999776,9993462800000.0,1.3491999e+35,0.0034051569867332926,2.3634310396456863e-11,0.6712400132140943,0.0021235500285973364,1.3663549880796521e-11,0.002973981551697456,2.1791581625093343e-11,300000000000000.0,50,52000000000000.0
3.0299999776,9992729400000.0,1.29045e+35,0.004081867267329228,1.8840531573913098e-11,0.6070616972044461,0.0025255991212998316,1.1486881437262223e-11,0.003608483756106306,1.7957403111620067e-11,300000000000000.0,50,52000000000000.0
4.0669999776,9991943000000.0,1.2561644e+35,0.004650612465994615,1.600418495427329e-11,0.5608943179115009,0.0028779838000623807,1.0078818340155168e-11,0.004156374154112084,1.5587797584153142e-11,300000000000000.0,50,52000000000000.0
5.1019999776,9991132300000.0,1.2326248e+35,0.005142578943569102,1.411901353832121e-11,0.5256489703410674,0.0031911030891716183,9.08837751304236e-12,0.004639074795752472,1.3963589125553466e-11,300000000000000.0,50,52000000000000.0
6.1549999776,9990296300000.0,1.2141912e+35,0.005589263251811881,1.2733578582983233e-11,0.4968567737884242,0.0034808485744793048,8.33048601768916e-12,0.005083279613487367,1.2741269661446364e-11,300000000000000.0,50,52000000000000.0
7.2079999776,9989461500000.0,1.1986161e+35,0.005995661768189123,1.1677929592246168e-11,0.4729752167746628,0.0037482451096294027,7.734859435924919e-12,0.005491633465841731,1.1791792128047258e-11,300000000000000.0,50,52000000000000.0
8.2779999776,9988623500000.0,1.1842279e+35,0.006376524531414172,1.0829001564041625e-11,0.45237199619264595,0.004001647483404222,7.243869384616305e-12,0.005877504435375479,1.1015837633092969e-11,300000000000000.0,50,52000000000000.0
9.3209999776,9987820600000.0,1.1709655e+35,0.006722786011702236,1.0153232299498559e-11,0.43497866090547044,0.004234074666975084,6.845071715060058e-12,0.006230661457578697,1.0389703948358632e-11,300000000000000.0,50,52000000000000.0
19.407999978,9980176900000.0,1.048619e+35,0.009341103530752189,6.864232735899657e-12,0.33462639676387174,0.0060352428320411,4.794919971736043e-12,0.008952012817014311,7.220317737376294e-12,300000000000000.0,50,52000000000000.0
29.451999978,9972332100000.0,9.3674611e+34,0.011287900383433393,5.521711069823133e-12,0.28418134157090497,0.007403707428844473,3.90250765699542e-12,0.011009887528101059,5.861529413323085e-12,300000000000000.0,50,52000000000000.0
39.678999978,9964248400000.0,8.3818186e+34,0.012939020579287955,4.734789161210271e-12,0.25145423121458094,0.008573911620352823,3.3643894068413015e-12,0.012766378116882224,5.0468255162285575e-12,300000000000000.0,50,52000000000000.0
49.868999978,9956092900000.0,7.564586e+34,0.014377494946360717,4.211254587816002e-12,0.2282917134856104,0.009597473152395767,3.0006479927598616e-12,0.014301223095494545,4.4977930995355814e-12,300000000000000.0,50,52000000000000.0
60.234999978,9947822400000.0,6.8843685e+34,0.01569316737084582,3.8240211878902244e-12,0.21042706629394908,0.01053565020002003,2.728934775421108e-12,0.01570715225076054,4.088441468601949e-12,300000000000000.0,50,52000000000000.0
70.621999978,9939538600000.0,6.3140481e+34,0.016899919403148243,3.5260271874899968e-12,0.19625826022290999,0.011397190392927274,2.5184578081967735e-12,0.01699767917431392,3.7717560706518955e-12,300000000000000.0,50,52000000000000.0
81.170999978,9931218400000.0,5.8379163e+34,0.01803602425760683,3.2845027822480954e-12,0.18450844954627799,0.012208842580061843,2.3470852284807194e-12,0.01821309518422173,3.514150198773099e-12,300000000000000.0,50,52000000000000.0
91.458999978,9923196600000.0,5.4572204e+34,0.01907348498327238,3.090734355439756e-12,0.17491273770201365,0.012950292775478779,2.2091513121535386e-12,0.019323122895598267,3.306956355515116e-12,300000000000000.0,50,52000000000000.0
192.84099998,9851453800000.0,3.892112e+34,0.027133793114858088,2.1102568275599214e-12,0.12421193772922684,0.018710412220246816,1.5070131160465323e-12,0.02794141419901314,2.2539937178533323e-12,300000000000000.0,50,52000000000000.0
292.85899998,9791292700000.0,2.1906505e+34,0.033102078206148064,1.7003812196207738e-12,0.10209254095929343,0.02296975220032371,1.2126284295188398e-12,0.03431109560452054,1.8132186059718636e-12,300000000000000.0,50,52000000000000.0
