t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,1000000000000.0,1.5728674e+36,0.001,1.0167366050510241e-12,1.0471975511965976,0.001,2.904961728717211e-13,0.001,4.3256347211812366e-13,300000000000000.0,50,52000000000000.0
1.0,999393910000.0,6.3366746e+34,0.001028392596195487,9.841699670129759e-13,1.0402299379303155,0.001008207149879161,2.878175601449801e-13,0.0010121968477376146,4.2688560292145934e-13,300000000000000.0,50,52000000000000.0
2.0,999309950000.0,6.1535806e+34,0.001058926936202756,9.520910458221806e-13,1.0328624340682442,0.0010172434104554467,2.8521253327128287e-13,0.0010255715839455543,4.212471235790282e-13,300000000000000.0,50,52000000000000.0
3.0,999225870000.0,6.0596631e+34,0.0010885000762636365,9.22765074425258e-13,1.0258462498666336,0.0010261991832519672,2.826758776073898e-13,0.0010387731398427043,4.1582361272979395e-13,300000000000000.0,50,52000000000000.0
4.0,999141590000.0,5.9835035e+34,0.0011171919243260526,8.958203293165441e-13,1.0191472077461274,0.0010350765498233167,2.8020422368669177e-13,0.001051808003466625,4.1060110768049196e-13,300000000000000.0,50,52000000000000.0
5.0,999057120000.0,5.9072121e+34,0.0011450714778909158,8.70953873909072e-13,1.0127362014211663,0.001043877455162334,2.777948607232458e-13,0.0010646821673289317,4.0556755107144664e-13,300000000000000.0,50,52000000000000.0
6.0,998972510000.0,5.8242663e+34,0.0011722001858876776,8.479118157509076e-13,1.0065877403661454,0.001052603863622389,2.754451808448329e-13,0.0010774014759179131,4.0071168041093763e-13,300000000000000.0,50,52000000000000.0
7.0,998887840000.0,5.7355296e+34,0.001198630141154722,8.264862500978079e-13,1.0006803696740858,0.001061257437891719,2.731529131839532e-13,0.0010899709804485242,3.960236706914367e-13,300000000000000.0,50,52000000000000.0
8.0,998803150000.0,5.6452567e+34,0.0012244106498859987,8.064944565764942e-13,0.9949942403229448,0.0010698401102243662,2.7091563539608537e-13,0.0011023961309205034,3.9149369197650285e-13,300000000000000.0,50,52000000000000.0
9.0,998718470000.0,5.5531713e+34,0.0012495837087497974,7.877852537914907e-13,0.9895125431483792,0.0010783535191834152,2.687312222232467e-13,0.001114681633210085,3.871131525112983e-13,300000000000000.0,50,52000000000000.0
10.0,998633860000.0,5.4578457e+34,0.0012741865932985785,7.702296550425455e-13,0.984220503726578,0.0010867991890923122,2.6659772475039405e-13,0.0011268318399253472,3.828742394570468e-13,300000000000000.0,50,52000000000000.0
20.0,997794870000.0,4.4990662e+34,0.001495081217424142,6.390414517655572e-13,0.9393472178697788,0.0011678489045515077,2.476792444629906e-13,0.0012417455139631765,3.46859356072473e-13,300000000000000.0,50,52000000000000.0
30.0,996994670000.0,3.4652737e+34,0.0016830341966158422,5.552296494162181e-13,0.9044289050666805,0.001243534973323115,2.3223180117812107e-13,0.0013467695298039729,3.192980154874834e-13,300000000000000.0,50,52000000000000.0
40.0,996236770000.0,2.9272114e+34,0.001848791196134371,4.959270049655146e-13,0.8757422023924358,0.001314784711687559,2.1931266190430806e-13,0.0014440608095246932,2.9733248282084105e-13,300000000000000.0,50,52000000000000.0
50.0,995508660000.0,2.6332266e+34,0.0019983053318931156,4.512113509243132e-13,0.8513569806773259,0.0013822830616778865,2.082987957531342e-13,0.001535086276023181,2.79293353484178e-13,300000000000000.0,50,52000000000000.0
60.0,994802500000.0,2.4477625e+34,0.002135295741416525,4.1598429018504954e-13,0.830130489199521,0.001446557261762977,1.9876135965991392e-13,0.0016209042043436883,2.6413133682424996e-13,300000000000000.0,50,52000000000000.0
70.0,994114170000.0,2.3136814e+34,0.002262249253151867,3.8733961284658915e-13,0.8113313435424511,0.001508018060948622,1.9039752741749177e-13,0.001702299434253602,2.5115510333571463e-13,300000000000000.0,50,52000000000000.0
80.0,993441310000.0,2.2081903e+34,0.0023809491404343914,3.634691542546387e-13,0.794455768649512,0.0015670006540231191,1.8298296917703347e-13,0.001779884855207563,2.3988220217140337e-13,300000000000000.0,50,52000000000000.0
90.0,992782350000.0,2.1210885e+34,0.0024927003300955833,3.4319615780624717e-13,0.7791469050530134,0.0016237747103673807,1.7635079798071249e-13,0.0018541379007035676,2.299699687748854e-13,300000000000000.0,50,52000000000000.0
100.0,992136080000.0,2.0470038e+34,0.0025984978521177305,3.2571391140693683e-13,0.7651406261362929,0.0016785632055876284,1.703732255693821e-13,0.001925442325537931,2.2116609551851747e-13,300000000000000.0,50,52000000000000.0
200.0,986166570000.0,1.6501878e+34,0.0034477281667744906,2.2666537094922332e-13,0.6671791591070314,0.002148378378534729,1.3151993383480662e-13,0.0025269119603771894,1.6650304797732246e-13,300000000000000.0,50,52000000000000.0
300.0,981144640000.0,8.1936703e+33,0.00408672892312255,1.8140745767625214e-13,0.6069836249065501,0.0025286856431825876,1.1060518207084055e-13,0.0030057282084669785,1.3855759146253273e-13,300000000000000.0,50,52000000000000.0
400.0,977567990000.0,3.2893076e+33,0.004615825909902975,1.5466932591591568e-13,0.5639019304587933,0.00285617765077033,9.720890386958955e-14,0.003414782450829413,1.2107033739996724e-13,300000000000000.0,50,52000000000000.0
500.0,974844480000.0,2.1022604e+33,0.0050755070113615,1.3665736259903343e-13,0.5305952729331419,0.0031480291622439133,8.770517516919432e-14,0.0037776157365488655,1.0883175245467485e-13,300000000000000.0,50,52000000000000.0
600.0,972511330000.0,1.6442709e+33,0.005486438897596909,1.2349691644454968e-13,0.5036156689354048,0.003413703776983784,8.049390035451947e-14,0.004106883170273795,9.962906953383799e-14,300000000000000.0,50,52000000000000.0
700.0,970409300000.0,1.3955866e+33,0.005860811367777935,1.1335534444769254e-13,0.48105750846761575,0.0036590768705969073,7.477225335140372e-14,0.0044103202305456335,9.237438603489924e-14,300000000000000.0,50,52000000000000.0
800.0,968468130000.0,1.2379069e+33,0.006206485237869649,1.0524278454453443e-13,0.461759476530759,0.0038880877446553553,7.008680796104355e-14,0.004693056586246687,8.646218503340024e-14,300000000000000.0,50,52000000000000.0
900.0,966648980000.0,1.1267189e+33,0.006528873584489849,9.857019035277416e-14,0.4449611755614113,0.004103534692448518,6.615766049288046e-14,0.004958706306620496,8.152287346126637e-14,300000000000000.0,50,52000000000000.0
1000.0,964927870000.0,1.0431343e+33,0.00683189003663592,9.29636103874054e-14,0.430137397701933,0.0043074934272570925,6.28019266321762e-14,0.005209933214577278,7.731700913397183e-14,300000000000000.0,50,52000000000000.0
2000.0,950696110000.0,7.143741e+32,0.009222889368500303,6.322900314702163e-14,0.33861477917901867,0.005952314681763835,4.4117375966400494e-14,0.00723001157988671,5.408365873439398e-14,300000000000000.0,50,52000000000000.0
3000.0,939670040000.0,5.8918625e+32,0.011002743315101142,5.0471158680053925e-14,0.29103781091838826,0.0072017830553459325,3.5621413848413594e-14,0.00876054840776522,4.360430250185423e-14,300000000000000.0,50,52000000000000.0
4000.0,930378160000.0,5.2049949e+32,0.012474198437487701,4.29927472721789e-14,0.2602922669326166,0.008243221693602044,3.050897602577649e-14,0.010034893353816318,3.731825332946282e-14,300000000000000.0,50,52000000000000.0
5000.0,922239920000.0,4.7536197e+32,0.013751353243584251,3.794076115712525e-14,0.23821519192348398,0.00915088163951037,2.700385535065209e-14,0.011144885328800702,3.301585515799693e-14,300000000000000.0,50,52000000000000.0
6000.0,914946860000.0,4.4261653e+32,0.01489163481502244,3.4239749761018516e-14,0.22133045973458693,0.009963158239602333,2.4412089183171684e-14,0.012137857534608313,2.98379786966087e-14,300000000000000.0,50,52000000000000.0
7000.0,908309480000.0,4.1731344e+32,0.015928960097875228,3.1378550946122817e-14,0.20785294945583044,0.010703125938829055,2.2395903339387847e-14,0.013042199106528386,2.7367671764941053e-14,300000000000000.0,50,52000000000000.0
8000.0,902200890000.0,3.9689672e+32,0.016885165200145512,2.908247644409487e-14,0.19676076554688254,0.011385816237852233,2.0770845323402286e-14,0.01387637949583108,2.53776632006589e-14,300000000000000.0,50,52000000000000.0
9000.0,896530560000.0,3.7987757e+32,0.01777535580973846,2.7187810258374245e-14,0.18741731242610152,0.012021717545544921,1.942562476181812e-14,0.01465327370279211,2.3731014596541284e-14,300000000000000.0,50,52000000000000.0
10000.0,891231300000.0,3.6533933e+32,0.018610475041146594,2.5590419080796107e-14,0.17940244850633819,0.012618477070398858,1.8288794329058562e-14,0.015382262310755618,2.2339901645615296e-14,300000000000000.0,50,52000000000000.0
11000.0,886251540000.0,3.5267381e+32,0.019398839642544432,2.42197071311407e-14,0.17242401892436626,0.013181936503884809,1.731154729827967e-14,0.01607050695202009,2.1144380344118165e-14,300000000000000.0,50,52000000000000.0
12000.0,881550470000.0,3.4146007e+32,0.020146625132752817,2.302857384237449e-14,0.16627796498906605,0.013716448119867053,1.6461164846189294e-14,0.016723341333007787,2.0104284415235472e-14,300000000000000.0,50,52000000000000.0
13000.0,877095270000.0,3.3140011e+32,0.02085917694363264,2.1979405451124622e-14,0.16080492708036184,0.014225794286130576,1.571134304604978e-14,0.017345398362001,1.9187349566195457e-14,300000000000000.0,50,52000000000000.0
14000.0,872859110000.0,3.222767e+32,0.021540366766894515,2.1047665709750374e-14,0.1558926970384736,0.014712718936736717,1.504489166569632e-14,0.017940038492725727,1.8372491744890276e-14,300000000000000.0,50,52000000000000.0
15000.0,868819530000.0,3.1392088e+32,0.022193471922300367,2.0213769574981913e-14,0.1514524396899645,0.015179549924448034,1.4448035129347195e-14,0.01851011178924708,1.7642823307788898e-14,300000000000000.0,50,52000000000000.0
16000.0,864957640000.0,3.0620545e+32,0.022821726692203177,1.945971223039588e-14,0.14740651235453323,0.015628590806137564,1.3908050153454026e-14,0.01905843732588814,1.6982757599669543e-14,300000000000000.0,50,52000000000000.0
17000.0,861257330000.0,2.9903047e+32,0.023427162591136617,1.8775273829255723e-14,0.1437036881829961,0.01606128837562818,1.3417721182128533e-14,0.019586785928787466,1.6383451268438766e-14,300000000000000.0,50,52000000000000.0
18000.0,857704640000.0,2.9244862e+32,0.02401176545846442,1.815072510482326e-14,0.14029837630838213,0.016479059411797958,1.2970154574778244e-14,0.020096891145422246,1.583646066723389e-14,300000000000000.0,50,52000000000000.0
