input:survey_PMPS_position_map_radec,input:survey_SMPS_position_map_radec,input:survey_HTRU_position_map_radec,input:survey_PMPS_velocity_map_vra,input:survey_SMPS_velocity_map_vra,input:survey_HTRU_velocity_map_vra,input:survey_PMPS_velocity_map_vdec,input:survey_SMPS_velocity_map_vdec,input:survey_HTRU_velocity_map_vdec,input:survey_PMPS_ppdot_map,input:survey_SMPS_ppdot_map,input:survey_HTRU_ppdot_map,input:survey_PMPS_ppdot_map_fluxes,input:survey_SMPS_ppdot_map_fluxes,input:survey_HTRU_ppdot_map_fluxes,B_initial_log10_mean,P_initial_log10_mean
output/generator/survey_PMPS_position_map_radec_1.npy,output/generator/survey_SMPS_position_map_radec_1.npy,output/generator/survey_HTRU_position_map_radec_1.npy,output/generator/survey_PMPS_velocity_map_vra_1.npy,output/generator/survey_SMPS_velocity_map_vra_1.npy,output/generator/survey_HTRU_velocity_map_vra_1.npy,output/generator/survey_PMPS_velocity_map_vdec_1.npy,output/generator/survey_SMPS_velocity_map_vdec_1.npy,output/generator/survey_HTRU_velocity_map_vdec_1.npy,output/generator/survey_PMPS_ppdot_map_1.npy,output/generator/survey_SMPS_ppdot_map_1.npy,output/generator/survey_HTRU_ppdot_map_1.npy,output/generator/survey_PMPS_ppdot_map_fluxes_1.npy,output/generator/survey_SMPS_ppdot_map_fluxes_1.npy,output/generator/survey_HTRU_ppdot_map_fluxes_1.npy,12.217080081747753,-0.5284096562094787
output/generator/survey_PMPS_position_map_radec_3.npy,output/generator/survey_SMPS_position_map_radec_3.npy,output/generator/survey_HTRU_position_map_radec_3.npy,output/generator/survey_PMPS_velocity_map_vra_3.npy,output/generator/survey_SMPS_velocity_map_vra_3.npy,output/generator/survey_HTRU_velocity_map_vra_3.npy,output/generator/survey_PMPS_velocity_map_vdec_3.npy,output/generator/survey_SMPS_velocity_map_vdec_3.npy,output/generator/survey_HTRU_velocity_map_vdec_3.npy,output/generator/survey_PMPS_ppdot_map_3.npy,output/generator/survey_SMPS_ppdot_map_3.npy,output/generator/survey_HTRU_ppdot_map_3.npy,output/generator/survey_PMPS_ppdot_map_fluxes_3.npy,output/generator/survey_SMPS_ppdot_map_fluxes_3.npy,output/generator/survey_HTRU_ppdot_map_fluxes_3.npy,12.299076654328934,-1.4327208843495762
output/generator/survey_PMPS_position_map_radec_4.npy,output/generator/survey_SMPS_position_map_radec_4.npy,output/generator/survey_HTRU_position_map_radec_4.npy,output/generator/survey_PMPS_velocity_map_vra_4.npy,output/generator/survey_SMPS_velocity_map_vra_4.npy,output/generator/survey_HTRU_velocity_map_vra_4.npy,output/generator/survey_PMPS_velocity_map_vdec_4.npy,output/generator/survey_SMPS_velocity_map_vdec_4.npy,output/generator/survey_HTRU_velocity_map_vdec_4.npy,output/generator/survey_PMPS_ppdot_map_4.npy,output/generator/survey_SMPS_ppdot_map_4.npy,output/generator/survey_HTRU_ppdot_map_4.npy,output/generator/survey_PMPS_ppdot_map_fluxes_4.npy,output/generator/survey_SMPS_ppdot_map_fluxes_4.npy,output/generator/survey_HTRU_ppdot_map_fluxes_4.npy,13.286135700678276,-1.1544136490794008
output/generator/survey_PMPS_position_map_radec_5.npy,output/generator/survey_SMPS_position_map_radec_5.npy,output/generator/survey_HTRU_position_map_radec_5.npy,output/generator/survey_PMPS_velocity_map_vra_5.npy,output/generator/survey_SMPS_velocity_map_vra_5.npy,output/generator/survey_HTRU_velocity_map_vra_5.npy,output/generator/survey_PMPS_velocity_map_vdec_5.npy,output/generator/survey_SMPS_velocity_map_vdec_5.npy,output/generator/survey_HTRU_velocity_map_vdec_5.npy,output/generator/survey_PMPS_ppdot_map_5.npy,output/generator/survey_SMPS_ppdot_map_5.npy,output/generator/survey_HTRU_ppdot_map_5.npy,output/generator/survey_PMPS_ppdot_map_fluxes_5.npy,output/generator/survey_SMPS_ppdot_map_fluxes_5.npy,output/generator/survey_HTRU_ppdot_map_fluxes_5.npy,12.238884977108674,-1.4647713639094808
output/generator/survey_PMPS_position_map_radec_6.npy,output/generator/survey_SMPS_position_map_radec_6.npy,output/generator/survey_HTRU_position_map_radec_6.npy,output/generator/survey_PMPS_velocity_map_vra_6.npy,output/generator/survey_SMPS_velocity_map_vra_6.npy,output/generator/survey_HTRU_velocity_map_vra_6.npy,output/generator/survey_PMPS_velocity_map_vdec_6.npy,output/generator/survey_SMPS_velocity_map_vdec_6.npy,output/generator/survey_HTRU_velocity_map_vdec_6.npy,output/generator/survey_PMPS_ppdot_map_6.npy,output/generator/survey_SMPS_ppdot_map_6.npy,output/generator/survey_HTRU_ppdot_map_6.npy,output/generator/survey_PMPS_ppdot_map_fluxes_6.npy,output/generator/survey_SMPS_ppdot_map_fluxes_6.npy,output/generator/survey_HTRU_ppdot_map_fluxes_6.npy,12.722377300236374,-0.647675000613473
output/generator/survey_PMPS_position_map_radec_7.npy,output/generator/survey_SMPS_position_map_radec_7.npy,output/generator/survey_HTRU_position_map_radec_7.npy,output/generator/survey_PMPS_velocity_map_vra_7.npy,output/generator/survey_SMPS_velocity_map_vra_7.npy,output/generator/survey_HTRU_velocity_map_vra_7.npy,output/generator/survey_PMPS_velocity_map_vdec_7.npy,output/generator/survey_SMPS_velocity_map_vdec_7.npy,output/generator/survey_HTRU_velocity_map_vdec_7.npy,output/generator/survey_PMPS_ppdot_map_7.npy,output/generator/survey_SMPS_ppdot_map_7.npy,output/generator/survey_HTRU_ppdot_map_7.npy,output/generator/survey_PMPS_ppdot_map_fluxes_7.npy,output/generator/survey_SMPS_ppdot_map_fluxes_7.npy,output/generator/survey_HTRU_ppdot_map_fluxes_7.npy,12.566689376870642,-0.331459108143384
output/generator/survey_PMPS_position_map_radec_8.npy,output/generator/survey_SMPS_position_map_radec_8.npy,output/generator/survey_HTRU_position_map_radec_8.npy,output/generator/survey_PMPS_velocity_map_vra_8.npy,output/generator/survey_SMPS_velocity_map_vra_8.npy,output/generator/survey_HTRU_velocity_map_vra_8.npy,output/generator/survey_PMPS_velocity_map_vdec_8.npy,output/generator/survey_SMPS_velocity_map_vdec_8.npy,output/generator/survey_HTRU_velocity_map_vdec_8.npy,output/generator/survey_PMPS_ppdot_map_8.npy,output/generator/survey_SMPS_ppdot_map_8.npy,output/generator/survey_HTRU_ppdot_map_8.npy,output/generator/survey_PMPS_ppdot_map_fluxes_8.npy,output/generator/survey_SMPS_ppdot_map_fluxes_8.npy,output/generator/survey_HTRU_ppdot_map_fluxes_8.npy,13.175955726918115,-0.953883688732437
output/generator/survey_PMPS_position_map_radec_9.npy,output/generator/survey_SMPS_position_map_radec_9.npy,output/generator/survey_HTRU_position_map_radec_9.npy,output/generator/survey_PMPS_velocity_map_vra_9.npy,output/generator/survey_SMPS_velocity_map_vra_9.npy,output/generator/survey_HTRU_velocity_map_vra_9.npy,output/generator/survey_PMPS_velocity_map_vdec_9.npy,output/generator/survey_SMPS_velocity_map_vdec_9.npy,output/generator/survey_HTRU_velocity_map_vdec_9.npy,output/generator/survey_PMPS_ppdot_map_9.npy,output/generator/survey_SMPS_ppdot_map_9.npy,output/generator/survey_HTRU_ppdot_map_9.npy,output/generator/survey_PMPS_ppdot_map_fluxes_9.npy,output/generator/survey_SMPS_ppdot_map_fluxes_9.npy,output/generator/survey_HTRU_ppdot_map_fluxes_9.npy,12.218739197772647,-0.5253336422779359
output/generator/survey_PMPS_position_map_radec_10.npy,output/generator/survey_SMPS_position_map_radec_10.npy,output/generator/survey_HTRU_position_map_radec_10.npy,output/generator/survey_PMPS_velocity_map_vra_10.npy,output/generator/survey_SMPS_velocity_map_vra_10.npy,output/generator/survey_HTRU_velocity_map_vra_10.npy,output/generator/survey_PMPS_velocity_map_vdec_10.npy,output/generator/survey_SMPS_velocity_map_vdec_10.npy,output/generator/survey_HTRU_velocity_map_vdec_10.npy,output/generator/survey_PMPS_ppdot_map_10.npy,output/generator/survey_SMPS_ppdot_map_10.npy,output/generator/survey_HTRU_ppdot_map_10.npy,output/generator/survey_PMPS_ppdot_map_fluxes_10.npy,output/generator/survey_SMPS_ppdot_map_fluxes_10.npy,output/generator/survey_HTRU_ppdot_map_fluxes_10.npy,13.9689595567208,-0.7844054058513275
output/generator/survey_PMPS_position_map_radec_11.npy,output/generator/survey_SMPS_position_map_radec_11.npy,output/generator/survey_HTRU_position_map_radec_11.npy,output/generator/survey_PMPS_velocity_map_vra_11.npy,output/generator/survey_SMPS_velocity_map_vra_11.npy,output/generator/survey_HTRU_velocity_map_vra_11.npy,output/generator/survey_PMPS_velocity_map_vdec_11.npy,output/generator/survey_SMPS_velocity_map_vdec_11.npy,output/generator/survey_HTRU_velocity_map_vdec_11.npy,output/generator/survey_PMPS_ppdot_map_11.npy,output/generator/survey_SMPS_ppdot_map_11.npy,output/generator/survey_HTRU_ppdot_map_11.npy,output/generator/survey_PMPS_ppdot_map_fluxes_11.npy,output/generator/survey_SMPS_ppdot_map_fluxes_11.npy,output/generator/survey_HTRU_ppdot_map_fluxes_11.npy,12.444611609756084,-0.6986999408211969
